"uniprot","main_gene","protein_name","V24_1","V24_2","V24_3","V24_4","I24_1","I24_2","I24_3","I24_4","V36_1","V36_2","V36_3","V36_4","I36_1","I36_2","I36_3","I36_4","veh_pval","INK_pval"
"Q8CGK3","Lonp1","Lon protease homolog, mitochondrial",2757981.0507814,6718192.91276393,2564400.29873459,3374020.13373613,3036273.44335367,7144210.46130794,3077937.10066265,3774440.18758394,2698557.90368,6994489.68256413,2794925.57275068,3247623.07453077,3086233.29582042,7084534.22854873,3007562.66226629,3565435.20241239,0.94,1
"Q8CGM2","Rp1l1","Retinitis pigmentosa 1-like 1 protein",32889.6257155113,34386.1267408448,51052.7659990726,21629.6067517999,40167.5649782828,56531.4815882713,51227.4962085757,24148.0004469623,46675.0109002116,40063.3251208693,56924.8080493761,24191.1371503422,37207.7075724097,51537.5467622964,48631.8852071274,22506.3293093455,0.17,1
"Q8CGN4","Bcor","BCL-6 corepressor",26747.3678927158,53455.1792598633,35233.8261869784,44702.9920101864,30740.7672295237,60718.2000791619,34700.4537137445,34838.9496897977,26687.3269638604,54350.2670064009,31362.3327457611,46487.1070358097,35302.4710520979,54403.5266954121,31671.4539679074,37906.7693197656,0.94,1
"Q8CGU1","Calcoco1","Calcium-binding and coiled-coil domain-containing protein 1",351177.747635185,302573.841980327,261372.480975149,258716.084764646,388008.310235607,700810.893508861,258237.751107337,677799.493184977,443944.854035873,298659.844583853,274451.266880929,287988.792303124,377374.257918275,558257.826547299,252976.759789231,715447.892248782,0.65,1
"Q8CGV9","Tshz3","Teashirt homolog 3",11880.2684838286,13032.580294883,18892.2362677628,15785.9132463908,12151.7944422582,15988.8191496412,16872.4588112174,17213.9332633923,9916.16216782798,13099.850015973,12087.7041992805,12537.1847937098,7885.68013540822,12785.0971236028,15956.9118250175,20481.7616609169,0.08,0.72
"Q8CGY8","Ogt","UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit",1839420.37918462,1576638.82565374,1810399.26397811,1428077.41532743,1597473.03588481,1541820.45851141,1655741.83015486,1181355.4653423,1908237.86088434,1570866.28322802,1592611.04259291,1282995.81710725,1551174.86138956,1511169.31929019,1541498.41087997,1068889.36307616,0.86,1
"Q8CGZ0","Cherp","Calcium homeostasis endoplasmic reticulum protein",2513229.51089926,3834998.33993594,3011735.67172635,3347851.64830425,2805281.49744457,4193021.79131269,3115342.73693463,3079779.31720419,2613781.43021423,3787372.71942265,2934106.96103332,2967326.9518409,2643094.02122725,4032140.36969597,2719306.13582579,2797883.86071659,0.91,1
"Q8CH02","Sugp1","SURP and G-patch domain-containing protein 1",125259.144246527,176213.544548855,152156.631004259,152607.3881462,135029.774620101,204766.031738506,157763.261288159,141565.893323729,148627.35133172,185496.43581611,157647.131816723,144018.957676508,153181.016233065,197138.987971093,152869.911305975,143051.145979142,0.86,1
"Q8CH09","Sugp2","SURP and G-patch domain-containing protein 2",63273.3022007616,80592.9225269853,70073.0562858216,63428.7992406141,57076.630575373,104726.018986679,56320.2171747926,79948.0109436852,70855.4860355708,79133.9887613197,64195.2792053681,84294.1711555136,81100.6089941232,110542.384561313,67814.492408326,107000.11595475,0.77,0.17
"Q8CH18","Ccar1","Cell division cycle and apoptosis regulator protein 1",2083692.95323528,2671810.86915845,2437389.68286606,3013255.97940281,3128189.77869901,3746897.41012211,3009895.29361572,3675919.57868555,2018619.89816839,2609305.04514051,2515138.70285374,2825557.8298495,2927817.56416433,3815939.57386761,2946153.26527779,3526179.17885642,0.92,1
"Q8CH25","Sltm","SAFB-like transcription modulator",746918.476230513,895660.123504612,1092348.20936665,1358956.5193246,813427.959712868,1146620.10967834,1007001.38669079,1198955.39872825,736567.538974882,928999.884649787,1043860.41211977,1301760.82216641,1018720.59739502,1121972.106775,1109549.34199608,1342171.68090812,0.94,0.92
"Q8CH72","Trim32","E3 ubiquitin-protein ligase TRIM32",1214465.76228011,1080991.85745512,1498232.02213844,859427.203276983,818282.962845277,887272.472574238,1072960.2812771,767164.792317281,1293033.02232906,1134751.53695477,1373300.66951454,835396.41109156,795439.370568717,795184.201355155,1073779.38947084,648149.891026777,0.96,1
"Q8CH77","Nav1","Neuron navigator 1",199996.972589399,148603.40322322,197079.877961193,175419.088550267,168635.499427238,142015.017273216,154907.935456725,143823.366964682,245976.444335222,166611.25624649,199354.078523791,167214.861836017,185026.576169293,135758.356569594,164076.105035806,159700.641284525,0.78,1
"Q8CHC4","Synj1","Synaptojanin-1",509140.678854612,426559.782677914,412125.260512004,266187.638536231,470290.498740065,419492.936907201,401880.601672874,275077.343656896,526985.519617326,453236.105857001,412379.453031688,274047.67074347,469637.678918291,365287.211387791,395307.674804939,279555.046071501,0.91,1
"Q8CHD8","Rab11fip3","Rab11 family-interacting protein 3",8921.50476939815,7178.14192599074,7882.05648997449,8348.91974656428,10541.9312807341,7009.18680723624,5259.09376851686,8492.42047478308,7845.37231944882,8455.67097411282,6900.01682521605,7045.03113157789,10973.4132437635,6787.91782847969,4216.96014353437,7969.93359362779,0.8,1
"Q8CHG3","Gcc2","GRIP and coiled-coil domain-containing protein 2",1381816.42379638,1419997.23557101,1528206.1480641,1831793.9802317,1031801.95477264,992023.373009952,1025487.23477879,1104517.75141504,1319022.19009967,1459950.71946553,1417732.38146289,1764205.21385979,961700.928682218,910780.514325364,876819.982056492,1027917.60422491,0.91,0.96
"Q8CHG7","Rapgef2","Rap guanine nucleotide exchange factor 2",8937.69418869395,5033.966047606,3998.13103723554,4223.8641690544,5711.07685508389,4210.02419581398,4550.64291358656,5928.0980471825,8505.74614877817,4041.93698424443,6256.23207059991,4120.04853657519,9610.6377981695,4540.30598774883,5043.876546852,5839.81404387542,0.9,0.44
"Q8CHH9","Sept8","Septin-8",493670.08249807,309375.384707604,296402.369280038,197211.120384058,616825.619324987,339631.779322444,385364.841620538,279160.305242077,521010.888059728,295501.376237066,322405.23633629,227331.650295158,610950.008631381,361861.274076982,428340.75620053,353015.968474147,0.83,0.94
"Q8CHI8","Ep400","E1A-binding protein p400",179803.773134545,294115.19611586,194243.718577721,231970.08793013,221812.955611896,565580.218005749,252613.887463662,257351.995068671,333399.785072089,479357.049275624,359868.384914959,377088.180199178,358696.693342104,572695.066285279,381813.9469966,362802.522598415,0,0.01
"Q8CHK3","Mboat7","Lysophospholipid acyltransferase 7",24268.2407490174,34217.1187094398,46105.1381247617,43969.3720565271,29185.6490386743,33939.9552464788,40009.2768477508,30237.6052685461,32432.7551599395,43600.8096692708,49191.9812583661,44673.4840337575,32185.3791713256,33100.1003261596,33520.544014701,27516.2763715588,0.29,1
"Q8CHK4","Kat5","Histone acetyltransferase KAT5",17806.0337507987,33710.0946152247,24064.6700865162,24758.9966648263,27127.3300023304,38634.2552976754,29470.6076772033,26281.4523878879,23731.6585111287,32905.4975037999,28170.4648916941,26121.6730111399,24449.4942311483,42236.5294887203,25712.9723443665,19994.4928370578,0.5,0.9
"Q8CHP0","Zc3h3","Zinc finger CCCH domain-containing protein 3",5556.86569002248,2245.49837505165,8273.90234386225,7940.06007321529,9626.18184829649,5036.41997542257,7886.07981293164,11371.5356044312,6873.79931552215,4579.04083970673,10567.7219166031,7293.79044812332,14328.6279681676,10743.8467467707,14749.1482966627,9567.35151486027,0.01,0
"Q8CHP5","Wibg","Partner of Y14 and mago",349664.215607734,316275.858965459,321880.376316846,420292.946883014,250083.234268314,270419.8819245,242129.894745206,335262.705726508,458243.691359114,386366.81885788,352652.978701125,499109.836133568,318518.066133431,271534.603151255,289196.0493656,363694.70495196,0.16,0.78
"Q8CHP6","Phc3","Polyhomeotic-like protein 3",151266.98889545,130177.405652962,139493.511348958,106767.420562076,157420.947920869,179569.41768279,215164.857182091,206447.357967423,191207.390040768,113786.898623212,183470.690897812,168609.95645298,132979.262440645,149623.115921433,139267.253303421,116097.630784435,0.09,0
"Q8CHP8","Pgp","Phosphoglycolate phosphatase",522235.604687053,435381.177487836,479785.209951153,327683.579301152,504047.94239509,521050.71805014,461078.70956409,367048.491992029,549685.283496677,440126.411264363,420136.01471156,297823.226891717,554092.753523586,499882.717173037,410353.657880837,374895.024959538,0.89,1
"Q8CHQ0","Fbxo4","F-box only protein 4",578954.738449953,286241.895140649,342217.251628431,197662.301167366,547844.116485355,323873.52826719,380374.530516968,261114.451136926,598652.328012083,273794.084690056,313243.56923583,186353.202074358,564424.75747308,317663.99926573,368102.358799832,253283.707230197,0.89,1
"Q8CHS8","Vps37a","Vacuolar protein sorting-associated protein 37A",296968.394829197,212290.576033171,292475.379364462,186815.915136635,264521.811292299,180647.613807623,280368.696001429,200162.662831189,296861.508612297,198622.538036524,281239.44509526,212250.873977985,234375.325383925,176744.374214839,274749.182357883,181264.002475585,0.96,1
