uniprot,Mean Diff.,Discovery?,q value,Individual P Value
F8VPQ2,-0.01445,No,1.00,0.91
F8VPU2,-0.08271,No,1.00,0.51
F8VPZ9,-0.05199,No,1.00,0.68
F8VQB6,0.03292,No,1.00,0.80
G3X9G7,-0.6611,Yes,0.00,0.00
G3X9J0,-0.06306,No,1.00,0.62
G3X9K3,0.0929,No,1.00,0.46
G3XA57,-0.09962,No,1.00,0.43
G3XA59,0.174,No,0.82,0.17
G5E829,-0.01878,No,1.00,0.88
G5E870,-0.3876,Yes,0.05,0.00
G5E897,0.134,No,0.98,0.29
G5E8B9,-1.076,Yes,0.00,0.00
G5E8K5,-0.1589,No,0.88,0.21
G5E8P0,-0.04243,No,1.00,0.74
G5E8P1,-0.1528,No,0.90,0.23
G5E8Q8,-0.418,Yes,0.02,0.00
L0N7N1,-0.1149,No,1.00,0.36
O08528,0.05507,No,1.00,0.66
O08529,0.01465,No,1.00,0.91
O08532,-0.02511,No,1.00,0.84
O08539,-0.1206,No,1.00,0.34
O08543,0.04727,No,1.00,0.71
O08547,0.04822,No,1.00,0.70
O08550,-0.1378,No,0.96,0.28
O08553,0.1242,No,1.00,0.33
O08573,0.03486,No,1.00,0.78
O08579,0.02582,No,1.00,0.84
O08582,-0.1576,No,0.88,0.21
O08583,-0.195,No,0.72,0.12
O08585,-0.09535,No,1.00,0.45
O08586,-0.07849,No,1.00,0.54
O08599,-0.06525,No,1.00,0.61
O08600,0.07945,No,1.00,0.53
O08601,-0.1451,No,0.94,0.25
O08609,-0.1902,No,0.75,0.13
O08638,0.1535,No,0.90,0.23
O08644,-0.2317,No,0.51,0.07
O08648,0.001444,No,1.00,0.99
O08663,-0.1591,No,0.88,0.21
O08664,-0.1337,No,0.98,0.29
O08665,-0.1792,No,0.79,0.16
O08688,-0.2212,No,0.57,0.08
O08689,-0.7016,Yes,0.00,0.00
O08709,-0.03607,No,1.00,0.78
O08715,-0.01729,No,1.00,0.89
O08734,0.09353,No,1.00,0.46
O08736,-0.1131,No,1.00,0.37
O08738,-0.02852,No,1.00,0.82
O08746,-0.07226,No,1.00,0.57
O08749,-0.01666,No,1.00,0.90
O08750,-0.224,No,0.55,0.08
O08756,0.06679,No,1.00,0.60
O08759,-0.01237,No,1.00,0.92
O08784,-0.1445,No,0.94,0.25
O08785,0.0513,No,1.00,0.69
O08788,0.03669,No,1.00,0.77
O08789,0.2933,No,0.26,0.02
O08791,0.1262,No,1.00,0.32
O08795,-0.07297,No,1.00,0.56
O08796,-0.03728,No,1.00,0.77
O08800,-0.07119,No,1.00,0.57
O08807,0.09583,No,1.00,0.45
O08808,-0.1842,No,0.77,0.15
O08810,0.04663,No,1.00,0.71
O08811,-0.0737,No,1.00,0.56
O08832,0.1778,No,0.80,0.16
