uniprot,Mean Diff.,Discovery?,q value,Individual P Value
Q8BN21,-0.2026,No,0.67,0.11
Q8BN57,0.1267,No,1.00,0.32
Q8BNA6,-0.3609,No,0.08,0.00
Q8BND3,0.03336,No,1.00,0.79
Q8BND5,0.1783,No,0.79,0.16
Q8BNE1,0.03418,No,1.00,0.79
Q8BNI4,-0.3245,No,0.15,0.01
Q8BNJ2,0.02304,No,1.00,0.86
Q8BNU0,0.06721,No,1.00,0.60
Q8BNV1,0.05554,No,1.00,0.66
Q8BNY6,-0.03181,No,1.00,0.80
Q8BP00,-0.2812,No,0.30,0.03
Q8BP01,-0.2044,No,0.66,0.11
Q8BP22,0.0118,No,1.00,0.93
Q8BP27,0.02123,No,1.00,0.87
Q8BP40,-0.1089,No,1.00,0.39
Q8BP47,0.07985,No,1.00,0.53
Q8BP48,0.01506,No,1.00,0.91
Q8BP56,-0.1448,No,0.94,0.25
Q8BP67,0.05769,No,1.00,0.65
Q8BP71,-0.03746,No,1.00,0.77
Q8BP78,-0.09086,No,1.00,0.47
Q8BP92,-0.07911,No,1.00,0.53
Q8BPB5,-0.009657,No,1.00,0.94
Q8BPE4,-0.08583,No,1.00,0.50
Q8BPG6,0.1588,No,0.88,0.21
Q8BPM0,-0.0893,No,1.00,0.48
Q8BPM2,0.009844,No,1.00,0.94
Q8BPS4,-0.1102,No,1.00,0.38
Q8BPU7,-0.03641,No,1.00,0.77
Q8BPY9,-0.8235,Yes,0.00,0.00
Q8BPZ8,-0.01448,No,1.00,0.91
Q8BQ30,-0.02351,No,1.00,0.85
Q8BQ33,-0.5316,Yes,0.00,0.00
Q8BQ47,0.1493,No,0.92,0.24
Q8BQ48,-0.02863,No,1.00,0.82
Q8BQ89,-0.09095,No,1.00,0.47
Q8BQM4,0.06281,No,1.00,0.62
Q8BQR4,-0.09848,No,1.00,0.44
Q8BQS4,-0.2852,No,0.29,0.02
Q8BQU3,0.1494,No,0.92,0.24
Q8BQX5,-0.1507,No,0.91,0.23
Q8BQZ4,0.1104,No,1.00,0.38
Q8BQZ5,-0.002766,No,1.00,0.98
Q8BR07,-0.01062,No,1.00,0.93
Q8BR63,0.05098,No,1.00,0.69
Q8BR65,-0.002799,No,1.00,0.98
Q8BR76,-0.2434,No,0.46,0.05
Q8BR90,-0.08592,No,1.00,0.50
Q8BR92,0.05879,No,1.00,0.64
Q8BRF7,-0.03397,No,1.00,0.79
Q8BRG6,-0.06804,No,1.00,0.59
Q8BRG8,-0.2455,No,0.45,0.05
Q8BRH0,-0.08618,No,1.00,0.50
Q8BRH4,-1.364,Yes,0.00,0.00
Q8BRK9,-0.2233,No,0.56,0.08
Q8BRM2,-0.05724,No,1.00,0.65
Q8BRN9,-0.03442,No,1.00,0.79
Q8BRT1,-0.02873,No,1.00,0.82
Q8BRV5,0.07597,No,1.00,0.55
Q8BS45,-0.1161,No,1.00,0.36
Q8BS90,0.4745,Yes,0.01,0.00
Q8BSE0,0.07255,No,1.00,0.57
Q8BSF4,0.1836,No,0.78,0.15
Q8BSI6,-0.05618,No,1.00,0.66
Q8BSK8,-0.1073,No,1.00,0.40
Q8BSM7,0.08145,No,1.00,0.52
Q8BSN5,0.1069,No,1.00,0.40
Q8BSP2,0.282,No,0.30,0.03
Q8BSQ9,-0.4697,Yes,0.01,0.00
Q8BSS9,-0.01521,No,1.00,0.90
Q8BSY0,-0.09353,No,1.00,0.46
Q8BSZ2,-0.06602,No,1.00,0.60
Q8BT07,0.2209,No,0.57,0.08
Q8BT14,0.1457,No,0.94,0.25
Q8BT60,0.04863,No,1.00,0.70
Q8BTE5,-0.01765,No,1.00,0.89
Q8BTH8,0.08524,No,1.00,0.50
Q8BTI7,0.06034,No,1.00,0.63
Q8BTI8,0.064,No,1.00,0.61
Q8BTI9,-0.03287,No,1.00,0.80
Q8BTJ4,-0.05446,No,1.00,0.67
Q8BTM8,-0.1273,No,1.00,0.31
Q8BTS4,-0.2392,No,0.47,0.06
Q8BTT6,0.1058,No,1.00,0.40
Q8BTU1,0.1181,No,1.00,0.35
Q8BTV1,0.05769,No,1.00,0.65
Q8BTV2,0.01073,No,1.00,0.93
Q8BTW3,-0.1075,No,1.00,0.40
Q8BTW8,0.2197,No,0.58,0.08
Q8BTW9,-0.1902,No,0.75,0.13
Q8BTX9,-0.08466,No,1.00,0.50
Q8BTY2,-0.01832,No,1.00,0.89
Q5DTL9,-0.06542,No,1.00,0.61
Q8BTY8,0.01932,No,1.00,0.88
Q8BTZ4,-0.05258,No,1.00,0.68
Q8BTZ5,-0.108,No,1.00,0.39
Q8BTZ7,0.08823,No,1.00,0.49
Q8BU03,0.07328,No,1.00,0.56
Q8BU04,-0.1121,No,1.00,0.38
Q8BU11,0.1916,No,0.74,0.13
Q8BU14,-0.1471,No,0.93,0.25
Q8BU30,0.07752,No,1.00,0.54
Q8BU31,0.07089,No,1.00,0.58
Q8BU33,-0.07225,No,1.00,0.57
Q8BU85,0.1259,No,1.00,0.32
Q8BU88,-0.06401,No,1.00,0.61
Q8BUE4,0.03864,No,1.00,0.76
Q8BUH7,-0.2562,No,0.40,0.04
Q8BUH8,-0.2122,No,0.62,0.09
Q8BUI3,0.09661,No,1.00,0.45
Q8BUK6,0.001366,No,1.00,0.99
Q8BUL5,0.2662,No,0.36,0.04
Q8BUL6,0.08171,No,1.00,0.52
Q8BUN5,-0.001748,No,1.00,0.99
Q8BUR4,-0.02146,No,1.00,0.87
Q8BUR9,0.01635,No,1.00,0.90
Q8BUV3,0.01956,No,1.00,0.88
Q8BUV6,-0.1233,No,1.00,0.33
Q8BUV8,-0.2173,No,0.59,0.09
Q8BUY5,-0.2543,No,0.41,0.04
Q8BUY9,0.03563,No,1.00,0.78
Q8BV13,0.01841,No,1.00,0.88
Q8BV57,0.08922,No,1.00,0.48
Q8BVA2,-0.9314,Yes,0.00,0.00
Q8BVA4,0.04367,No,1.00,0.73
Q8BVA5,-0.05018,No,1.00,0.69
Q8BVD5,-0.1012,No,1.00,0.42
Q8BVE3,0.03313,No,1.00,0.79
Q8BVE8,-0.06374,No,1.00,0.61
Q8BVF2,-0.1288,No,1.00,0.31
Q8BVF7,-0.002574,No,1.00,0.98
Q8BVG4,-0.03545,No,1.00,0.78
Q8BVH9,0.06509,No,1.00,0.61
Q8BVI4,-0.05322,No,1.00,0.67
Q8BVI5,-0.07601,No,1.00,0.55
Q8BVL3,-0.2643,No,0.37,0.04
Q8BVN4,0.1678,No,0.85,0.19
Q8BVP5,0.05687,No,1.00,0.65
Q8BVQ5,0.02789,No,1.00,0.83
Q8BVR6,-0.03313,No,1.00,0.79
Q8BVU0,0.02386,No,1.00,0.85
Q8BVU5,-0.03042,No,1.00,0.81
Q8BVW0,-0.08554,No,1.00,0.50
Q8BVY0,-0.02997,No,1.00,0.81
Q8BVZ5,0.04298,No,1.00,0.73
Q8BW00,-0.009802,No,1.00,0.94
Q8BW10,-0.232,No,0.51,0.07
Q8BW22,-0.05639,No,1.00,0.66
Q8BW41,-0.07819,No,1.00,0.54
Q8BW72,-0.07884,No,1.00,0.53
Q8BW75,0.02666,No,1.00,0.83
Q8BW96,0.1012,No,1.00,0.42
Q8BWA8,-0.04897,No,1.00,0.70
Q8BWB6,-0.01796,No,1.00,0.89
Q8BWC0,0.04326,No,1.00,0.73
Q8BWD8,-0.0503,No,1.00,0.69
Q8BWF0,0.1251,No,1.00,0.32
Q8BWG8,0.09124,No,1.00,0.47
Q8BWG9,-0.112,No,1.00,0.38
Q8BWH0,0.02093,No,1.00,0.87
Q8BWL5,-0.04582,No,1.00,0.72
Q8BWM0,0.05167,No,1.00,0.68
Q8BWP8,-0.1189,No,1.00,0.35
Q8BWQ6,0.06639,No,1.00,0.60
Q8BWR2,-0.03388,No,1.00,0.79
Q8BWR4,-0.1531,No,0.90,0.23
Q8BWR8,-0.04829,No,1.00,0.70
Q8BWS5,0.2661,No,0.36,0.04
Q8BWT1,0.1026,No,1.00,0.42
Q8BWT5,-0.07306,No,1.00,0.56
Q8BWU5,0.05132,No,1.00,0.69
Q8BWW4,-0.105,No,1.00,0.41
Q8BWW9,-0.06208,No,1.00,0.62
Q8BWY3,0.08459,No,1.00,0.50
Q8BWY7,0.005623,No,1.00,0.96
Q8BWY9,0.2874,No,0.28,0.02
Q8BWZ3,-0.03063,No,1.00,0.81
Q8BX02,-0.1123,No,1.00,0.38
Q8BX07,-0.163,No,0.86,0.20
Q8BX09,0.01019,No,1.00,0.94
Q8BX10,-0.04158,No,1.00,0.74
Q8BX17,0.009593,No,1.00,0.94
Q8BX57,-0.1111,No,1.00,0.38
Q8BX65,-0.5982,Yes,0.00,0.00
Q8BX70,-0.01363,No,1.00,0.91
Q8BX80,0.04357,No,1.00,0.73
Q8BX90,-0.1422,No,0.94,0.26
Q8BX94,0.104,No,1.00,0.41
Q8BXA1,0.09878,No,1.00,0.44
Q8BXA5,-0.003614,No,1.00,0.98
Q8BXC6,0.03283,No,1.00,0.80
Q8BXG3,-0.02669,No,1.00,0.83
Q8BXJ2,0.1311,No,0.99,0.30
Q8BXK8,-0.1474,No,0.93,0.24
Q8BXL7,0.02178,No,1.00,0.86
Q8BXN9,0.03395,No,1.00,0.79
Q8BXQ2,0.09436,No,1.00,0.46
Q8BXV2,-0.01744,No,1.00,0.89
Q8BXZ1,-0.1044,No,1.00,0.41
Q8BY02,-0.2387,No,0.47,0.06
Q8BY71,0.5157,Yes,0.00,0.00
Q8BY87,0.002328,No,1.00,0.99
Q8BY98,-0.001968,No,1.00,0.99
Q8BYA0,0.03911,No,1.00,0.76
Q8BYB9,-0.1122,No,1.00,0.38
Q8BYC6,-0.2687,No,0.35,0.03
Q8BYH7,0.01484,No,1.00,0.91
Q8BYH8,-0.4363,Yes,0.02,0.00
Q8BYJ6,0.1393,No,0.96,0.27
Q8BYK6,0.1404,No,0.95,0.27
Q8BYK8,-0.2444,No,0.45,0.05
Q8BYL4,0.09863,No,1.00,0.44
Q8BYM8,0.1593,No,0.88,0.21
Q8BYR2,-0.1863,No,0.76,0.14
Q8BYU6,-0.05613,No,1.00,0.66
Q8BYW9,-0.01782,No,1.00,0.89
Q8BYY4,0.09323,No,1.00,0.46
Q8BZ03,0.04125,No,1.00,0.74
Q8BZ20,-0.007041,No,1.00,0.96
Q8BZ21,0.3235,No,0.16,0.01
Q8BZ36,-0.07891,No,1.00,0.53
Q8BZ47,-0.1862,No,0.76,0.14
Q8BZ98,-0.1569,No,0.89,0.22
Q8BZA9,-0.0511,No,1.00,0.69
Q8BZB2,0.5948,Yes,0.00,0.00
Q8BZF8,1.177,Yes,0.00,0.00
Q8BZH0,-0.135,No,0.97,0.29
Q8BZH4,-0.2387,No,0.47,0.06
Q8BZJ7,-0.09803,No,1.00,0.44
Q8BZM1,-0.2181,No,0.59,0.09
Q8BZQ7,0.1219,No,1.00,0.34
Q8BZR9,0.03531,No,1.00,0.78
Q8BZS9,0.03622,No,1.00,0.78
Q8BZW8,0.0005885,No,1.00,1.00
Q8BZX4,0.004454,No,1.00,0.97
Q8BZZ3,-0.137,No,0.97,0.28
Q8C006,-0.04826,No,1.00,0.70
Q8C025,0.06291,No,1.00,0.62
Q8C031,-0.2165,No,0.60,0.09
Q8C033,-0.01938,No,1.00,0.88
Q8C050,-0.2018,No,0.68,0.11
Q8C052,-0.08289,No,1.00,0.51
Q8C078,-0.0715,No,1.00,0.57
Q8C079,0.0242,No,1.00,0.85
Q8C080,0.09551,No,1.00,0.45
Q8C092,0.03383,No,1.00,0.79
Q8C0C0,0.1831,No,0.78,0.15
Q8C0C4,-0.1849,No,0.77,0.14
Q8C0C7,0.0211,No,1.00,0.87
Q8C0D0,0.03629,No,1.00,0.77
Q8C0D4,-0.1202,No,1.00,0.34
Q8C0D5,-0.088,No,1.00,0.49
Q8C0D9,-0.1495,No,0.92,0.24
Q8C0E2,0.005714,No,1.00,0.96
Q8C0E3,-0.09214,No,1.00,0.47
Q8C0I1,0.09423,No,1.00,0.46
Q8C0I4,-0.4105,Yes,0.03,0.00
Q8C0J2,0.01387,No,1.00,0.91
Q8C0J6,0.1527,No,0.90,0.23
Q8C0K5,-0.09396,No,1.00,0.46
Q8C0L0,0.0484,No,1.00,0.70
Q8C0L6,-0.02014,No,1.00,0.87
Q8C0L8,-0.01625,No,1.00,0.90
Q8C0L9,0.1887,No,0.75,0.14
Q8C0M0,-0.1603,No,0.88,0.21
Q8C0M9,-0.09947,No,1.00,0.43
Q8C0N2,0.2604,No,0.39,0.04
Q8C0P7,-0.09035,No,1.00,0.48
Q8C0Q2,0.1093,No,1.00,0.39
Q8C0S1,-0.1255,No,1.00,0.32
Q8C0T5,-0.1935,No,0.73,0.13
Q8C0V0,0.01486,No,1.00,0.91
Q8C0V9,-0.1027,No,1.00,0.42
Q8C0Z1,0.009227,No,1.00,0.94
Q8C115,-0.03711,No,1.00,0.77
Q8C129,0.01717,No,1.00,0.89
Q8C142,-0.4142,Yes,0.03,0.00
Q8C145,-0.02478,No,1.00,0.84
Q8C156,0.2345,No,0.50,0.06
Q8C163,-0.07713,No,1.00,0.54
Q8C166,-0.03941,No,1.00,0.76
Q8C167,0.05864,No,1.00,0.64
Q8C172,-0.009961,No,1.00,0.94
Q8C180,-0.05551,No,1.00,0.66
Q8C181,0.02363,No,1.00,0.85
Q8C1A5,0.02936,No,1.00,0.82
Q8C1B1,-0.2038,No,0.67,0.11
Q8C1B7,-0.08128,No,1.00,0.52
Q8C1D8,0.117,No,1.00,0.36
Q8C1E7,0.03131,No,1.00,0.80
Q8C1M2,0.09046,No,1.00,0.48
Q8C1S0,0.005877,No,1.00,0.96
Q8C1Y8,-0.06723,No,1.00,0.60
Q8C1Z8,-0.3319,No,0.14,0.01
Q8C263,0.07285,No,1.00,0.57
Q8C267,-0.3291,No,0.14,0.01
Q8C2A2,0.01819,No,1.00,0.89
Q8C2B3,-0.1652,No,0.86,0.19
Q8C2E4,0.07259,No,1.00,0.57
Q8C2E7,0.02373,No,1.00,0.85
Q8C2K1,-0.002794,No,1.00,0.98
Q8C2L6,-0.05063,No,1.00,0.69
Q8C2Q3,-0.03675,No,1.00,0.77
Q8C2R7,-0.1065,No,1.00,0.40
Q8C341,-0.1859,No,0.77,0.14
Q8C351,-0.09556,No,1.00,0.45
Q8C398,-0.1978,No,0.70,0.12
Q8C3B8,0.00712,No,1.00,0.96
Q8C3F2,-0.2384,No,0.48,0.06
Q8C3I8,0.1009,No,1.00,0.43
Q8C3P7,-0.1588,No,0.88,0.21
Q8C3Q9,-0.1752,No,0.82,0.17
Q8C3R1,0.2678,No,0.35,0.03
Q8C3S2,0.04131,No,1.00,0.74
Q8C3W1,-0.1153,No,1.00,0.36
Q8C3X2,-0.03573,No,1.00,0.78
Q8C3X4,-0.05046,No,1.00,0.69
Q8C3X8,-0.1015,No,1.00,0.42
Q8C3Y4,0.2372,No,0.48,0.06
Q8C460,-0.05569,No,1.00,0.66
Q8C4B4,-0.0324,No,1.00,0.80
Q8C4J7,0.1035,No,1.00,0.41
Q8C4Q6,-0.07354,No,1.00,0.56
Q8C4S8,-0.06825,No,1.00,0.59
Q8C4U3,-0.05677,No,1.00,0.65
Q8C4V1,-0.3131,No,0.19,0.01
Q8C4V4,0.0571,No,1.00,0.65
Q8C4X2,-0.05007,No,1.00,0.69
Q8C4Y3,0.06955,No,1.00,0.58
Q8C522,-0.1063,No,1.00,0.40
Q8C547,-0.000963,No,1.00,0.99
Q8C561,-0.01911,No,1.00,0.88
Q8C569,-0.03973,No,1.00,0.75
Q8C570,-0.05022,No,1.00,0.69
Q8C5D8,0.01923,No,1.00,0.88
Q8C5H8,-0.07037,No,1.00,0.58
Q8C5K5,-0.04276,No,1.00,0.74
Q8C5L3,-0.0271,No,1.00,0.83
Q8C5L6,0.004027,No,1.00,0.97
Q8C5L7,0.2421,No,0.46,0.06
Q8C5N3,-0.008749,No,1.00,0.95
Q8C5N5,-0.04124,No,1.00,0.74
Q8C5P7,-0.05605,No,1.00,0.66
Q8C5Q4,0.06714,No,1.00,0.60
Q8C5W0,-0.08017,No,1.00,0.53
Q8C5W3,0.06317,No,1.00,0.62
Q8C650,-0.07059,No,1.00,0.58
Q8C669,-0.2617,No,0.38,0.04
Q8C6B2,0.04594,No,1.00,0.72
Q8C6B9,0.03906,No,1.00,0.76
Q8C6E0,0.09388,No,1.00,0.46
Q8C6G8,0.09743,No,1.00,0.44
Q8C6I2,-0.09563,No,1.00,0.45
Q8C6P8,-0.1124,No,1.00,0.38
Q8C735,-0.3631,No,0.08,0.00
Q8C754,-0.2744,No,0.32,0.03
Q8C761,-0.07174,No,1.00,0.57
Q8C7D2,-0.04039,No,1.00,0.75
Q8C7E7,0.1017,No,1.00,0.42
Q8C7E9,-0.0124,No,1.00,0.92
Q8C7H1,0.00551,No,1.00,0.97
Q8C7K6,0.1314,No,0.99,0.30
Q8C7Q4,0.1624,No,0.86,0.20
Q8C7R4,-0.002425,No,1.00,0.98
Q8C7V3,-0.03932,No,1.00,0.76
Q8C7V8,0.03503,No,1.00,0.78
Q8C7X2,-0.0001625,No,1.00,1.00
Q8C850,-0.04771,No,1.00,0.71
Q8C854,0.03487,No,1.00,0.78
Q8C863,0.01186,No,1.00,0.93
Q8C878,0.02699,No,1.00,0.83
Q8C8M1,-0.2701,No,0.34,0.03
Q8C8N2,0.0181,No,1.00,0.89
Q8C8R3,-0.0604,No,1.00,0.63
Q8C8T8,0.04797,No,1.00,0.71
Q8C8U0,-0.02483,No,1.00,0.84
Q8C8V1,-0.4594,Yes,0.01,0.00
Q8C9B9,-0.2534,No,0.41,0.05
Q8C9S4,0.005246,No,1.00,0.97
Q8C9W3,-0.2798,No,0.30,0.03
Q8C9X6,-0.5597,Yes,0.00,0.00
Q8CA71,0.1813,No,0.78,0.15
Q8CA72,0.02795,No,1.00,0.83
Q8CA95,-0.0588,No,1.00,0.64
Q8CAF4,-0.2249,No,0.55,0.08
Q8CAK1,-0.02573,No,1.00,0.84
Q8CAQ8,-0.1105,No,1.00,0.38
Q8CAS9,-0.09111,No,1.00,0.47
Q8CAV0,0.01221,No,1.00,0.92
Q8CAY6,0.08182,No,1.00,0.52
Q8CB44,0.004729,No,1.00,0.97
Q8CB77,-0.3488,No,0.10,0.01
Q8CBC4,-0.05763,No,1.00,0.65
Q8CBD1,-1.037,Yes,0.00,0.00
Q8CBE3,-0.1509,No,0.91,0.23
Q8CBG9,0.05683,No,1.00,0.65
Q8CBQ5,0.1888,No,0.75,0.14
Q8CBR6,-0.05393,No,1.00,0.67
Q8CBW3,0.07905,No,1.00,0.53
Q8CBW7,-0.2267,No,0.54,0.07
Q8CBY0,0.01649,No,1.00,0.90
Q8CBY1,0.002251,No,1.00,0.99
Q8CBY3,-0.09472,No,1.00,0.45
Q8CBY8,-0.1243,No,1.00,0.33
Q8CC12,-0.01375,No,1.00,0.91
Q8CC21,0.2815,No,0.30,0.03
Q8CC27,-0.0362,No,1.00,0.78
Q8CC35,0.005778,No,1.00,0.96
Q8CC84,-0.0267,No,1.00,0.83
Q8CC86,0.03613,No,1.00,0.78
Q8CC88,0.0002469,No,1.00,1.00
Q8CCA0,-0.06034,No,1.00,0.63
Q8CCB4,0.06825,No,1.00,0.59
Q8CCF0,-0.1151,No,1.00,0.36
Q8CCH2,0.1362,No,0.97,0.28
Q8CCH7,-0.01352,No,1.00,0.92
Q8CCJ3,-0.1148,No,1.00,0.37
Q8CCJ9,0.08956,No,1.00,0.48
Q8CCK0,-0.3512,No,0.10,0.01
Q8CCM6,-0.08681,No,1.00,0.49
Q8CCN5,0.0767,No,1.00,0.54
Q8CCP0,-0.7091,Yes,0.00,0.00
Q8CCS6,-0.03433,No,1.00,0.79
Q8CD10,-0.02073,No,1.00,0.87
Q8CD15,0.06266,No,1.00,0.62
Q8CD26,0.2509,No,0.42,0.05
Q8CD54,0.001539,No,1.00,0.99
Q8CD92,-0.04449,No,1.00,0.73
Q8CD94,-0.2594,No,0.39,0.04
Q8CDA1,-0.01491,No,1.00,0.91
Q8CDD9,-0.01461,No,1.00,0.91
Q8CDG3,-0.02511,No,1.00,0.84
Q8CDJ8,-0.1854,No,0.77,0.14
Q8CDM1,0.217,No,0.59,0.09
Q8CDM8,-0.08166,No,1.00,0.52
Q8CDN6,-0.02286,No,1.00,0.86
Q8CE33,0.00373,No,1.00,0.98
Q8CE46,-0.2137,No,0.61,0.09
Q8CE50,-0.08567,No,1.00,0.50
Q8CE64,-1.327,Yes,0.00,0.00
Q8CE90,-0.004043,No,1.00,0.97
Q8CE96,0.04159,No,1.00,0.74
Q8CEC0,0.01801,No,1.00,0.89
Q8CEC6,0.04356,No,1.00,0.73
Q8CEE6,0.2603,No,0.39,0.04
Q8CEE7,-0.0142,No,1.00,0.91
Q8CEF1,-0.2327,No,0.50,0.07
Q8CEI1,-0.003973,No,1.00,0.98
Q8CES0,-0.01175,No,1.00,0.93
Q8CF89,0.0509,No,1.00,0.69
Q8CFD4,-0.2545,No,0.41,0.04
Q8CFE2,0.007552,No,1.00,0.95
Q8CFE3,0.1217,No,1.00,0.34
Q8CFE4,0.07857,No,1.00,0.54
Q8CFE6,-0.1076,No,1.00,0.40
Q8CFG0,-0.3266,No,0.15,0.01
Q8CFG9,-0.1479,No,0.93,0.24
Q8CFH6,-0.07111,No,1.00,0.57
Q8CFI0,0.04937,No,1.00,0.70
Q8CFI5,0.06901,No,1.00,0.59
Q8CFI7,0.07215,No,1.00,0.57
Q8CFJ9,-0.1811,No,0.78,0.15
Q8CFK2,-0.2501,No,0.42,0.05
Q8CFQ3,-0.01808,No,1.00,0.89
Q8CFT2,-0.2807,No,0.30,0.03
Q8CFV9,-0.0278,No,1.00,0.83
Q8CFW7,-0.1979,No,0.70,0.12
Q8CFX1,-0.1284,No,1.00,0.31
Q8CG03,0.245,No,0.45,0.05
Q8CG14,0.1416,No,0.95,0.26
Q8CG19,-0.1166,No,1.00,0.36
Q8CG46,-0.1654,No,0.86,0.19
Q8CG47,0.1107,No,1.00,0.38
Q8CG48,0.2262,No,0.54,0.07
Q8CG50,-0.1254,No,1.00,0.32
Q8CG64,-0.4769,Yes,0.01,0.00
Q8CG70,0.05048,No,1.00,0.69
Q8CG72,-0.09701,No,1.00,0.44
Q8CG73,-0.07567,No,1.00,0.55
Q8CG76,-0.04309,No,1.00,0.73
Q8CG79,-0.01336,No,1.00,0.92
Q8CGA0,0.006691,No,1.00,0.96
Q8CGB3,-0.06589,No,1.00,0.60
Q8CGB6,-0.007933,No,1.00,0.95
Q8CGC4,-0.0288,No,1.00,0.82
Q8CGC6,-0.1836,No,0.78,0.15
Q8CGC7,0.04566,No,1.00,0.72
Q8CGE9,-0.2718,No,0.33,0.03
Q8CGF1,-0.01088,No,1.00,0.93
Q8CGF6,0.179,No,0.79,0.16
Q8CGF7,-0.008619,No,1.00,0.95
Q8CGI1,-0.08861,No,1.00,0.48
Q8CGK3,0.02603,No,1.00,0.84
Q8CGM2,0.1051,No,1.00,0.41
Q8CGN4,-0.007793,No,1.00,0.95
Q8CGU1,0.07997,No,1.00,0.53
Q8CGV9,0.194,No,0.72,0.13
Q8CGY8,0.07972,No,1.00,0.53
Q8CGZ0,0.1193,No,1.00,0.35
Q8CH02,-0.0242,No,1.00,0.85
Q8CH09,-0.3183,No,0.17,0.01
Q8CH18,0.04001,No,1.00,0.75
Q8CH25,-0.149,No,0.92,0.24
Q8CH72,0.1103,No,1.00,0.38
Q8CH77,-0.07571,No,1.00,0.55
Q8CHC4,0.05053,No,1.00,0.69
Q8CHD8,0.09966,No,1.00,0.43
Q8CHG3,0.1386,No,0.96,0.27
Q8CHG7,-0.2467,No,0.44,0.05
Q8CHH9,-0.1422,No,0.94,0.26
Q8CHI8,-0.4507,Yes,0.01,0.00
Q8CHK3,0.07159,No,1.00,0.57
Q8CHK4,0.1531,No,0.90,0.23
Q8CHP0,-0.5802,Yes,0.00,0.00
Q8CHP5,-0.1822,No,0.78,0.15
Q8CHP6,0.4912,Yes,0.00,0.00
Q8CHP8,0.01522,No,1.00,0.90
Q8CHQ0,0.01904,No,1.00,0.88
Q8CHS8,0.09459,No,1.00,0.46
Q8CHT0,0.02727,No,1.00,0.83
Q8CHT3,0.1166,No,1.00,0.36
Q8CHU3,-0.01674,No,1.00,0.89
Q8CHV6,-0.1865,No,0.76,0.14
Q8CHW4,-0.009274,No,1.00,0.94
Q8CHX6,-0.6462,Yes,0.00,0.00
Q8CHY3,0.1051,No,1.00,0.41
Q8CHY6,-0.01531,No,1.00,0.90
Q8CHY7,-0.4221,Yes,0.02,0.00
Q8CI03,0.1685,No,0.85,0.18
Q8CI04,0.1103,No,1.00,0.38
Q8CI08,-0.03919,No,1.00,0.76
Q8CI11,-0.09442,No,1.00,0.46
Q8CI32,-0.02517,No,1.00,0.84
Q8CI33,0.02204,No,1.00,0.86
Q8CI43,-0.1068,No,1.00,0.40
Q8CI51,-0.04736,No,1.00,0.71
Q8CI59,-0.05793,No,1.00,0.65
Q8CI61,0.0007453,No,1.00,1.00
Q8CI70,0.1053,No,1.00,0.41
Q8CI71,-0.0003518,No,1.00,1.00
Q8CI75,0.012,No,1.00,0.92
Q8CI78,-0.2469,No,0.44,0.05
Q8CI94,-0.01054,No,1.00,0.93
Q8CI95,-0.01888,No,1.00,0.88
Q8CIA9,-0.136,No,0.97,0.28
Q8CIB5,-0.1344,No,0.98,0.29
Q8CIB6,-0.1193,No,1.00,0.35
Q8CIC2,-0.06595,No,1.00,0.60
Q8CID0,-0.1464,No,0.93,0.25
Q8CID3,0.1761,No,0.81,0.16
Q8CIE4,0.04828,No,1.00,0.70
Q8CIE6,0.1434,No,0.94,0.26
Q8CIF4,0.03573,No,1.00,0.78
Q8CIF6,0.0599,No,1.00,0.64
Q8CIG3,0.1084,No,1.00,0.39
Q8CIG8,0.1096,No,1.00,0.39
Q8CIG9,0.02244,No,1.00,0.86
Q8CII2,0.2331,No,0.50,0.07
Q8CIL4,-0.03361,No,1.00,0.79
Q8CIM3,0.02186,No,1.00,0.86
Q8CIM8,0.04644,No,1.00,0.71
Q8CIN4,0.08845,No,1.00,0.49
Q8CIT9,0.3681,No,0.07,0.00
Q8CIV2,-0.05494,No,1.00,0.66
Q8CIV8,0.1059,No,1.00,0.40
Q8CJ12,0.03486,No,1.00,0.78
Q8CJ19,-0.01864,No,1.00,0.88
Q8CJ26,0.0164,No,1.00,0.90
Q8CJ40,-0.08329,No,1.00,0.51
Q8CJ53,-0.365,No,0.07,0.00
Q8CJ61,-0.03358,No,1.00,0.79
Q8CJ67,-0.1645,No,0.86,0.19
Q8CJ69,-0.109,No,1.00,0.39
Q8CJ78,-1,Yes,0.00,0.00
Q8CJ96,0.01428,No,1.00,0.91
Q8CJF7,-0.7416,Yes,0.00,0.00
Q8CJF9,-0.06822,No,1.00,0.59
Q8CJG0,-0.0535,No,1.00,0.67
Q8CJG1,-0.3415,No,0.12,0.01
Q8CJH3,0.03339,No,1.00,0.79
Q8HW98,-0.165,No,0.86,0.19
Q8HWB0,-0.04249,No,1.00,0.74
Q8JZK9,0.2596,No,0.39,0.04
Q8JZL3,-0.0952,No,1.00,0.45
Q8JZM0,0.03384,No,1.00,0.79
Q8JZM7,-0.0293,No,1.00,0.82
Q8JZN5,0.07525,No,1.00,0.55
Q8JZN7,-0.003204,No,1.00,0.98
Q8JZP3,0.102,No,1.00,0.42
Q8JZP9,-0.08629,No,1.00,0.50
Q8JZQ2,-0.1175,No,1.00,0.35
Q8JZQ9,0.09377,No,1.00,0.46
Q8JZR0,-0.002496,No,1.00,0.98
Q8JZS6,-0.01622,No,1.00,0.90
Q8JZS9,0.06557,No,1.00,0.60
Q8JZU0,-0.06052,No,1.00,0.63
Q8JZU2,-0.1843,No,0.77,0.15
