uniprot,Mean Diff.,Discovery?,q value,Individual P Value
Q64127,0.009596,No,0.95,0.93
Q64133,-0.09842,No,0.79,0.39
Q64152,0.1329,No,0.67,0.25
Q64191,-0.3162,No,0.06,0.01
Q64213,0.1699,No,0.51,0.14
Q64261,0.2465,No,0.21,0.03
Q64267,-0.6967,Yes,0.00,0.00
Q64282,-0.7282,Yes,0.00,0.00
Q64310,-0.04637,No,0.91,0.69
Q64311,-0.1329,No,0.67,0.25
Q64314,0.2131,No,0.32,0.06
Q64318,-0.02024,No,0.94,0.86
Q64321,-0.4327,Yes,0.00,0.00
Q64323,0.03433,No,0.92,0.77
Q64324,-0.05345,No,0.90,0.64
Q64331,-0.1608,No,0.55,0.16
Q64337,0.2118,No,0.33,0.07
Q64339,-0.5876,Yes,0.00,0.00
Q64345,-0.4567,Yes,0.00,0.00
Q64364,-0.4547,Yes,0.00,0.00
Q64373,0.002408,No,0.96,0.98
Q64378,-0.02248,No,0.94,0.85
Q64429,0.04707,No,0.91,0.68
Q64430,-0.03741,No,0.92,0.75
Q64433,0.01194,No,0.95,0.92
Q64435,-0.04591,No,0.91,0.69
Q64442,-0.2579,No,0.18,0.03
Q64449,-0.1853,No,0.44,0.11
Q64455,-0.09017,No,0.81,0.43
Q64471,-0.4801,Yes,0.00,0.00
Q64487,-0.0271,No,0.93,0.81
Q64511,-1.153,Yes,0.00,0.00
Q64512,-0.2624,No,0.16,0.02
Q64514,0.06501,No,0.88,0.57
Q64516,-0.06576,No,0.88,0.57
Q64520,0.02532,No,0.94,0.83
Q64521,0.02322,No,0.94,0.84
Q64523,-0.06079,No,0.89,0.60
Q64669,0.1943,No,0.40,0.09
Q64674,0.1987,No,0.38,0.08
Q64700,-0.3261,No,0.05,0.00
Q64701,-0.01378,No,0.95,0.90
Q64704,-0.08403,No,0.84,0.47
Q64705,0.1177,No,0.73,0.31
Q64707,-0.0624,No,0.89,0.59
Q64727,0.0437,No,0.91,0.70
Q64729,0.01134,No,0.95,0.92
Q64735,0.01461,No,0.95,0.90
Q64737,0.3418,Yes,0.04,0.00
Q64FW2,-0.145,No,0.61,0.21
Q64GA5,0.2094,No,0.34,0.07
Q65Z40,0.01093,No,0.95,0.92
Q66GT5,-0.02275,No,0.94,0.84
Q66JT1,0.04818,No,0.91,0.68
Q66JV4,0.00449,No,0.96,0.97
Q66JY2,-0.2715,No,0.14,0.02
Q66JZ4,-0.0331,No,0.92,0.77
Q66T02,0.009344,No,0.95,0.94
Q673H1,0.1611,No,0.54,0.16
Q67FY2,-0.003588,No,0.96,0.98
Q689Z5,0.06338,No,0.89,0.58
Q68ED3,-0.1572,No,0.56,0.17
Q68FD5,0.03604,No,0.92,0.75
Q68FD7,-0.06269,No,0.89,0.59
Q68FE6,0.09512,No,0.80,0.41
Q68FE8,-0.1025,No,0.78,0.37
Q68FF6,-0.05559,No,0.90,0.63
Q68FF7,-0.3606,Yes,0.03,0.00
Q68FG3,-0.1275,No,0.69,0.27
Q68FH0,-0.09891,No,0.79,0.39
Q68FH4,-0.2059,No,0.35,0.07
Q68FL4,-0.06352,No,0.89,0.58
Q68FL6,0.0413,No,0.92,0.72
Q69Z37,-0.1668,No,0.52,0.15
Q69Z38,0.0199,No,0.94,0.86
Q69Z66,0.07481,No,0.86,0.52
Q69ZC8,0.05695,No,0.89,0.62
Q69ZF3,-0.07193,No,0.86,0.53
Q69ZF7,0.108,No,0.76,0.35
Q69ZH9,-0.2772,No,0.13,0.02
Q69ZI1,0.207,No,0.35,0.07
Q69ZJ7,0.006516,No,0.96,0.95
Q69ZK6,-0.08323,No,0.84,0.47
Q69ZK9,-0.4286,Yes,0.00,0.00
Q69ZL1,-0.6008,Yes,0.00,0.00
Q69ZN6,-0.06644,No,0.88,0.56
Q69ZN7,-0.01658,No,0.94,0.89
Q69ZP3,-0.2084,No,0.34,0.07
Q69ZQ1,-0.1751,No,0.48,0.13
Q69ZQ2,0.08382,No,0.84,0.47
Q69ZR2,0.1013,No,0.78,0.38
Q69ZR9,-0.005225,No,0.96,0.96
Q69ZS0,-0.3528,Yes,0.03,0.00
Q69ZS7,0.03871,No,0.92,0.74
Q69ZT1,-0.2672,No,0.15,0.02
Q69ZU6,0.05075,No,0.91,0.66
Q69ZW3,-0.1302,No,0.68,0.26
Q69ZX6,-0.2204,No,0.29,0.06
Q69ZZ6,-0.1682,No,0.51,0.14
Q69ZZ9,0.07554,No,0.86,0.51
Q6A009,-0.05654,No,0.90,0.62
Q6A026,-0.08328,No,0.84,0.47
Q6A028,-0.009976,No,0.95,0.93
Q6A037,0.1966,No,0.39,0.09
Q6A039,-0.1147,No,0.74,0.32
Q6A058,-0.3811,Yes,0.02,0.00
Q6A065,-0.2321,No,0.25,0.04
Q6A068,-0.5297,Yes,0.00,0.00
Q6A085,-0.7138,Yes,0.00,0.00
Q6A098,-1.078,Yes,0.00,0.00
Q6A0A2,-0.112,No,0.75,0.33
Q6A0A9,-0.1802,No,0.46,0.12
Q6A0D4,0.04629,No,0.91,0.69
Q6A4J8,0.01501,No,0.95,0.90
Q6AW69,-0.2172,No,0.31,0.06
Q6AXC6,0.5986,Yes,0.00,0.00
Q6DFV1,0.4728,Yes,0.00,0.00
Q6DFV3,-0.1579,No,0.56,0.17
Q6DFV5,-0.1247,No,0.70,0.28
Q6DFV7,0.09311,No,0.80,0.42
Q6DFW0,0.2095,No,0.34,0.07
Q6DFW4,-0.4109,Yes,0.01,0.00
Q6DFX2,0.007353,No,0.96,0.95
Q6DG52,0.05126,No,0.90,0.66
Q6DI86,-0.03198,No,0.92,0.78
Q6DIA2,-0.2406,No,0.23,0.04
Q6DIB4,-0.3173,No,0.06,0.01
Q6DIC0,-0.5604,Yes,0.00,0.00
Q6DID3,0.03387,No,0.92,0.77
Q6DID7,0.1507,No,0.59,0.19
Q6DVA0,-0.1426,No,0.62,0.22
Q6DYE8,-0.09586,No,0.80,0.41
Q6EDY6,-0.3713,Yes,0.02,0.00
Q6F3F9,0.1111,No,0.75,0.33
Q6GQS1,0.05957,No,0.89,0.60
Q6GQT5,-0.06021,No,0.89,0.60
Q6GQT6,-0.1683,No,0.51,0.14
Q6GQT9,0.01683,No,0.94,0.88
Q6GQX2,0.07162,No,0.86,0.53
Q6GQX6,-0.2054,No,0.35,0.07
Q6GU68,-0.6059,Yes,0.00,0.00
Q6GV12,-0.138,No,0.64,0.23
Q6GYP7,-0.005935,No,0.96,0.96
Q6IMB1,-0.4692,Yes,0.00,0.00
Q6IQX7,-0.03257,No,0.92,0.78
Q6IQX8,-0.8527,Yes,0.00,0.00
Q6IR34,0.06035,No,0.89,0.60
Q6IRU2,-0.07012,No,0.86,0.54
Q6IRU5,0.2774,No,0.13,0.02
Q6JPI3,0.08743,No,0.83,0.45
Q6KAQ7,-0.2021,No,0.37,0.08
Q6KAR6,-0.03873,No,0.92,0.74
Q6KAS7,-0.1431,No,0.62,0.21
Q6KAU4,0.01701,No,0.94,0.88
Q6KAU7,-0.08304,No,0.84,0.47
Q6KCD5,-0.225,No,0.28,0.05
Q6NS46,-0.7116,Yes,0.00,0.00
Q6NS57,-0.2051,No,0.36,0.07
Q6NS59,-0.4345,Yes,0.00,0.00
Q6NS82,-0.13,No,0.68,0.26
Q6NSQ7,0.2558,No,0.18,0.03
Q6NSQ9,-0.1038,No,0.77,0.37
Q6NSR8,0.001471,No,0.96,0.99
Q6NSU3,0.09059,No,0.81,0.43
Q6NSV7,0.09688,No,0.80,0.40
Q6NT99,-0.074,No,0.86,0.52
Q6NV83,-0.04418,No,0.91,0.70
Q6NVE8,0.02016,No,0.94,0.86
Q6NVE9,0.004565,No,0.96,0.97
Q6NVF0,-0.03318,No,0.92,0.77
Q6NVF4,-0.1907,No,0.41,0.10
Q6NVF9,0.01639,No,0.94,0.89
Q6NVG1,0.006507,No,0.96,0.95
Q6NWV3,-0.1457,No,0.61,0.21
Q6NWW9,-0.04338,No,0.91,0.71
Q6NXH2,-0.02773,No,0.93,0.81
Q6NXI6,0.02608,No,0.94,0.82
Q6NXJ0,0.0422,No,0.91,0.71
Q6NXK2,-0.2564,No,0.18,0.03
Q6NXM2,-0.02892,No,0.93,0.80
Q6NXN1,0.07709,No,0.85,0.50
Q6NXW6,-0.07547,No,0.86,0.51
Q6NXY9,0.2761,No,0.14,0.02
Q6NZA9,-0.3962,Yes,0.01,0.00
Q6NZB0,-0.1643,No,0.53,0.15
Q6NZB1,0.06779,No,0.87,0.56
Q6NZC7,0.06137,No,0.89,0.59
Q6NZF1,-0.4961,Yes,0.00,0.00
Q6NZJ6,0.1121,No,0.75,0.33
Q6NZK5,0.08209,No,0.84,0.48
Q6NZL0,-0.09521,No,0.80,0.41
Q6NZL6,0.3793,Yes,0.02,0.00
Q6NZM9,-0.02999,No,0.93,0.79
Q6NZN0,-0.2388,No,0.23,0.04
Q6NZQ4,0.01786,No,0.94,0.88
Q6NZQ6,-0.3716,Yes,0.02,0.00
Q6NZR2,0.04929,No,0.91,0.67
Q6P069,0.07733,No,0.85,0.50
Q6P073,0.113,No,0.74,0.33
Q6P0X2,0.03383,No,0.92,0.77
Q6P1B1,0.04526,No,0.91,0.69
Q6P1C6,-0.02241,No,0.94,0.85
Q6P1E1,0.07795,No,0.85,0.50
Q6P1F6,0.1033,No,0.78,0.37
Q6P1G0,0.128,No,0.69,0.27
Q6P1G2,-0.3342,Yes,0.04,0.00
Q6P1H1,-0.3919,Yes,0.01,0.00
Q6P1H6,0.04762,No,0.91,0.68
Q6P2B1,-0.03534,No,0.92,0.76
Q6P2K6,0.006749,No,0.96,0.95
Q6P2L6,-0.6407,Yes,0.00,0.00
Q6P2L7,0.05504,No,0.90,0.63
Q6P3A8,-0.04098,No,0.92,0.72
Q6P3B9,-0.2081,No,0.34,0.07
Q6P3D0,-0.02576,No,0.94,0.82
Q6P3E7,-0.06679,No,0.88,0.56
Q6P3Y5,-0.2205,No,0.29,0.06
Q6P3Z3,-0.5673,Yes,0.00,0.00
Q6P4S6,0.001487,No,0.96,0.99
Q6P4S8,-0.09906,No,0.79,0.39
Q6P4T0,0.1127,No,0.74,0.33
Q6P4T1,-0.1686,No,0.51,0.14
Q6P4T2,0.0724,No,0.86,0.53
Q6P539,0.09842,No,0.79,0.39
Q6P542,-1.254,Yes,0.00,0.00
Q6P549,0.09996,No,0.79,0.39
Q6P5B0,-0.3603,Yes,0.03,0.00
Q6P5D3,-0.5049,Yes,0.00,0.00
Q6P5D8,0.05042,No,0.91,0.66
Q6P5E4,-0.07061,No,0.86,0.54
Q6P5E6,-0.01018,No,0.95,0.93
Q6P5E8,-0.271,No,0.14,0.02
Q6P5F6,-0.003102,No,0.96,0.98
