"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"Q9QXK7","Cpsf3","Cleavage and polyadenylation specificity factor subunit 3",448976.458248896,396355.480159033,540409.927928056,497494.453198375,369077.957220763,462331.775978428,472751.31942123,462542.240262884,431396.214162528,449931.486270055,364730.548588335,398298.132273569,431946.705113805,357463.653144784,377163.534939492,353629.523421855,0.0436840271864044,7.12,27542
"Q9QXN3","Trip4","Activating signal cointegrator 1",487329.138117509,398769.775112899,391570.169597258,446258.285913436,518962.33708813,541238.515828817,436951.693454001,504792.739116232,462388.429998167,492013.5351744,406101.72748724,457013.127714286,426341.853492823,400195.052138632,449896.213796254,398938.433203126,0.0380528357368757,11.17,37786
"Q9QYC0","Add1","Alpha-adducin",446277.931445025,482091.864080764,452588.533023668,376751.999771691,379805.649961837,405084.140786417,376458.793740671,355498.382172999,377541.258440322,343569.267881137,354094.981283326,371582.43517113,488857.897042227,407488.429054319,364896.836257458,397659.967751589,0.0341716271686448,2.14,36965
"Q9QZ47","Tnnt3","Troponin T, fast skeletal muscle",50006.3340843518,8811.07346321194,30892.9797278832,42134.1780603428,122428.92783898,1557051.54044773,53175.4779753389,54019.1149644444,63469.2810572386,66660.5160876256,51062.4702144169,350807.455784566,505935.017681352,3183293.59992791,57115.5989247813,59232.5143633836,0.0436840271864044,17.46,188368
"Q9QZD9","Eif3i","Eukaryotic translation initiation factor 3 subunit I",2228526.67360023,2048550.65519055,2124529.99100409,2132448.24816027,2533630.85178004,2198606.02582581,2542929.39357521,2433221.06037539,2415980.80770837,2335442.50375958,2411048.69186123,2474764.72018018,2410677.21506957,1961823.15793813,2311443.71477422,2325565.22466924,0.0231653424442385,13.52,146625
"Q9R008","Mvk","Mevalonate kinase",1454834.58162429,1196255.95406049,1409574.27251573,1190895.22723135,1512323.13029741,1497748.90058353,1428485.26991289,1355131.70394616,1363659.80092794,1108300.90406396,1550237.21348219,1508993.52307563,1571919.84315489,1582471.3494938,1644193.13842517,1549628.31333909,0.0341716271686448,20.41,56038
"Q9R013","Ctsf","Cathepsin F",3827182.52673401,4506427.24559185,3891354.25036402,3614065.92256758,3584358.88104419,3920473.76051558,3641371.98361489,3667012.92175275,3551432.58134431,3148966.65494808,3246395.23481588,3625917.84512552,3332064.76942626,3512984.12009482,4318147.20412034,3248503.38033952,0.0436840271864044,4.66,206732
"Q9R061","Nubp2","Cytosolic Fe-S cluster assembly factor NUBP2",99426.0332119488,92739.0670280823,84135.9394669832,101451.536283561,110119.773577614,120559.452299182,80101.0751930591,168475.584663981,124970.077315823,111577.971673072,127929.458838831,139612.445171249,102466.545802219,88901.0134163549,114967.806646287,100064.886198416,0.0380528357368757,14.17,16073
"Q9R1E6","Enpp2","Ectonucleotide pyrophosphatase/phosphodiesterase family member 2",59469.0025914498,63558.6137542173,70825.353077381,97890.0287513291,91693.9887772975,59582.8413326978,90408.5386552898,79306.4687705377,102040.598390648,120676.961605801,101288.784783399,105754.360718601,89816.2607371488,69755.6185478405,99558.769201608,88807.5851240101,0.0313165056348466,12.29,15653
"Q9WTN3","Srebf1","Sterol regulatory element-binding protein 1;Processed sterol regulatory element-binding protein 1",71054.8099973444,63157.8846071207,71071.9500717969,82159.9749841208,132807.939406099,125518.94318723,108674.349184761,105117.933978609,84314.2177756193,83742.3067316728,101384.573385206,92019.0344723303,53022.9178914883,76282.5823158028,66208.8146373889,64015.0500751461,0.00704351167247589,11.37,25121
"Q9Z0E6","Gbp2","Interferon-induced guanylate-binding protein 2",1268139.63954912,1067427.5284043,1158498.11734185,1496788.79911409,900103.50983359,1081638.15303807,955085.533135624,886984.061490647,1022476.12305237,1490792.39925463,917023.286177843,1018599.44988067,1353319.84809553,1033074.80819987,1070516.18531617,1075606.05381459,0.0436840271864044,23.92,120474
"Q9Z0H1","Wdr46","WD repeat-containing protein 46",253782.835715381,195429.478682759,212461.659294299,263875.49492112,300630.354375962,252443.789400062,251807.915790232,264070.497004103,325627.199709941,313407.861725946,311510.054136013,317182.344097811,259273.662649601,282631.502313463,308024.760031921,338172.497636718,0.0200042851164173,16.82,30707
"Q9Z0S9","Rabac1","Prenylated Rab acceptor protein 1",382490.206243901,408567.840271143,319321.999409125,439385.870066563,424326.464388356,530118.815839974,398993.654893507,482707.679334281,555165.241845072,472805.852270609,429566.23908287,464376.160725953,345381.956863346,400532.869782129,394978.133467337,362091.454436998,0.0313165056348466,13.24,55454
"Q9Z2L7","Crlf3","Cytokine receptor-like factor 3",88257.7778377772,108532.993227242,100017.844192151,111992.971245558,96102.1257091615,105395.821101511,88608.3304477067,100785.626800125,76389.0932740116,80459.714542876,80543.9559082539,90886.0486685389,98983.8164042521,81957.8741639023,86439.3586836054,84140.9617849405,0.0231653424442385,5.46,7846
"Q9Z2V4","Pck1","Phosphoenolpyruvate carboxykinase, cytosolic [GTP]",15881630.5854893,20895429.0160373,18977161.724822,17333213.1479426,21129640.0408108,16361651.4563782,18434457.6351501,16689355.5387421,29400629.0454428,37981804.8077496,24538483.1042798,21322480.0148475,26414964.3302415,28630548.6815188,26933308.3690806,29467481.8353275,0.0247840195162149,18.14,4418284
"P16546-2","Sptan1","Spectrin alpha chain, non-erythrocytic 1",25175478.9263979,24368508.8991364,24829482.575937,24738566.5845641,25094279.3530257,25381320.6827179,27331445.6926364,25641675.5930819,25205167.6548063,27616025.3385355,25581489.3493942,26461718.8846754,25423800.2165715,24797359.0646844,25764476.4270351,24991657.3891447,0.0341716271686448,14.12,679632
