"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P40630","Tfam","Transcription factor A, mitochondrial",781508.523062998,602440.99221073,974536.951791494,840033.7514949,772966.878596099,714410.675940474,957099.527392073,1000116.69831868,714187.901379185,1016108.25028972,896239.685667588,872339.476774494,718466.016891499,774827.843443034,744868.315432943,792933.367222661,0.155780990214867,12.78,56898
"P40936","Inmt","Indolethylamine N-methyltransferase",11457036.4118441,9032052.08439334,9334517.17259436,10083838.8242323,5674427.76865171,8527394.29762325,7957548.36356878,11235359.9922542,8704984.86673132,10574603.3583362,9460144.32463536,8480748.62493755,11629043.5935707,9288674.70633991,7837303.44985996,8969642.20333982,0.114972930685014,23.22,635328
"P41216","Acsl1","Long-chain-fatty-acid--CoA ligase 1",43708461.6125982,43106527.0371559,40820905.574273,45908806.0466485,44805346.110931,43302904.2873948,41024798.9108249,44001543.8806963,42621820.5249728,35366275.3196259,45524471.1129591,38596678.9411273,42754018.4480393,39273383.4933713,35072312.1366917,40717338.8452813,0.0697961097033575,7.63,1378658
"P41233","Abca1","ATP-binding cassette sub-family A member 1",1278618.50699566,1269535.38094192,1182236.69832543,1264270.44223683,1190734.04853799,1317163.91904033,1421643.56406178,1459091.6870148,1420359.91791975,1302891.91222894,1457454.2254005,1467388.56833248,1336638.46367726,1136104.81898822,1228137.73699629,1312347.44628448,0.0539461393503313,13.94,83587
"P41241","Csk","Tyrosine-protein kinase CSK",1881476.94120751,1707904.00184498,1934140.77750909,2059651.98980717,1699385.70287254,1796958.91930273,2116578.4918449,2024219.50075547,1725130.33289009,1742209.81158731,1829509.61256392,1960526.60112986,1813100.28159093,1586344.78539957,1874993.59396522,1851279.40163853,0.184125796212024,8.31,43878
"P42128","Foxk1","Forkhead box protein K1",202867.66229809,181212.296442459,179136.129862859,186422.095774621,189151.133941713,260232.079046671,194044.792487441,195515.531629699,229384.861809437,224730.726059809,202860.575870166,201367.525966245,237355.240737917,178415.224121547,206699.418934266,180241.994729359,0.0878696844004885,14.45,12319
"P42208","Sept2","Septin-2",3043845.36736239,3264009.89839263,3249399.41991446,3372742.37228279,2907124.35991491,3091129.25853285,3406752.46999824,3234513.392921,3182504.31436871,3338082.95599145,2972080.8501991,3462547.15214349,3229314.59036372,2965162.55761508,3277782.73774499,3220101.63734088,0.317435108737141,20.14,11851
"P42225","Stat1","Signal transducer and activator of transcription 1",2695627.71624617,2369204.74262891,2724691.2549106,3620326.96942483,2409062.63715507,2436028.49909217,2221494.74375608,2251169.18773511,2541061.29007138,2557482.374223,2525153.37083095,2816294.79430881,2695147.47415064,1833802.98629157,2554209.87478541,2563522.21125353,0.0585976261075685,1.05,101411
"P42227","Stat3","Signal transducer and activator of transcription 3",3781540.99424144,3432391.13830642,3253500.14937202,3231982.91497689,3464383.44331843,3571741.32011438,3673841.40997984,3367884.10960908,3482649.3606616,3929714.32838777,3131298.31731502,3489896.09434808,3832250.3327021,3187809.81239493,3207265.67514194,3661975.82357871,0.262374995672894,13.17,43814
"P42230","Stat5a","Signal transducer and activator of transcription 5A",228362.579384476,271815.708395524,226260.451979924,197219.799785859,210567.148136858,241140.343969427,197547.783281871,204103.276823578,216931.370939715,192988.484486178,199455.753936491,188497.457489187,228203.775097691,221921.326365182,168477.431614977,191572.678708749,0.0878696844004885,5.15,10628
