"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q7TPR4","Actn1","Alpha-actinin-1",4045099.5963515,3917850.60006363,4082998.52916104,4044984.50110815,4370328.15879295,4113861.38387281,4719222.14890221,4901160.62690774,4164208.51017912,3849881.57447709,4039699.59292565,3907413.70046403,4388270.35794464,3949743.18341788,3777937.98973926,3812223.01399457,0.0317747584604215,9.58,253478
"Q7TPV4","Mybbp1a","Myb-binding protein 1A",2309340.25762855,2675596.77444542,2926905.61809336,2813592.70542328,2875808.69254412,2340955.86161729,2991015.28105508,3032256.76692984,3045339.03420923,2786860.81325633,2885845.54221939,2991508.88807664,3102729.30705689,3160096.8212428,2812125.63385508,3473834.16124351,0.0414806424053415,19.35,136384
"Q80SY6","Adal","Adenosine deaminase-like protein",293268.975012459,309305.539548032,284124.819104202,264552.035364858,384466.677461623,347877.877275921,292059.085417098,310471.561628849,286151.653497422,310900.515243943,320649.392654298,286392.087363766,315525.323820259,271189.049851454,272817.107812704,269770.103934121,0.0454175116054217,11.03,23896
"Q9EQ21","Hamp","Hepcidin;Hepcidin-2",28715.3952639747,44799.4754100371,49424.9992872473,25414.4685642092,42259.2945596186,33241.157195781,22340.0168338403,69045.733467002,63567.9470350327,60626.1130904974,62967.6577357419,77778.4315203277,33508.8302253523,54097.2039684497,77740.8762446908,61480.695653967,0.0414806424053415,17.79,12022
"Q80U63","Mfn2","Mitofusin-2",1305293.10831108,1308069.13078003,1201759.26656829,1219920.39842913,1292401.46872377,1345184.13727337,1188907.54102533,1061298.33356541,1377780.20408685,1377613.4130618,1436498.07843312,1339951.30571941,1229852.63958425,1325379.98823432,1246736.98968748,1394781.43285199,0.0317747584604215,18.24,83659
"Q80X41","Vrk1","Serine/threonine-protein kinase VRK1",665050.563005113,746307.839057507,708696.370936875,612328.440456529,740948.917338474,721717.282403993,683368.182004456,932772.120675307,745591.142861906,765258.532481341,699810.747006645,650010.669464601,624276.810113,635021.40044064,602701.217067209,590997.971537176,0.0317747584604215,11.05,66758
"Q80XN0","Bdh1","D-beta-hydroxybutyrate dehydrogenase, mitochondrial",9219259.50353342,9232985.29354496,10136269.4824314,8923322.1634896,9904967.24980513,9264031.00955158,9116687.76747559,9489280.20294847,11135190.6727086,9154186.90225358,10837287.5267044,10997195.4718701,10115393.5368879,10415620.0786121,10635830.0460509,9377105.79676815,0.0358402101501716,17.86,510323
"Q80YC5","F12","Coagulation factor XII;Coagulation factor XIIa heavy chain;Coagulation factor XIIa light chain",577390.911169909,500889.635554934,572485.799710582,510357.228559802,556515.219073173,527830.381937721,550388.934447015,431238.16315048,648479.215488849,559449.728942523,556360.901107584,538165.600421631,558538.329058244,610047.270509221,610762.440695363,594429.857669446,0.0454175116054217,20.55,30568
"Q80YR9","Rbm12b1","RNA-binding protein 12B-A",142496.987800479,151069.438198457,140990.877068696,123578.029000364,129162.657862188,134113.677023601,130094.66982957,137636.261933093,149418.368846687,146056.159182555,151385.707931131,148963.814070388,164782.43597134,158471.367277164,136236.667988909,138632.69510912,0.0454175116054217,20.14,7422
"Q80YT7","Pde4dip","Myomegalin",188838.037856143,168985.722504175,201686.884582981,194252.600181811,247898.818778911,217575.060618539,210782.51058801,208612.290468114,274061.190264411,259713.46451412,264180.302651562,240495.52955713,241962.568250891,248704.736533607,250056.771742198,247060.764776118,0.00759048104868416,17.07,25375
"Q810U5","Ccdc50","Coiled-coil domain-containing protein 50",51058.451531441,41030.3888660933,34817.3302529407,32395.491006815,28410.2218786274,30837.3556556506,31528.4912409166,37182.468718545,33232.2365954608,32068.626620594,35270.3980296656,31054.1878293715,40192.9057255942,39211.8572461536,36202.6679007779,43868.6423775224,0.0284525263872816,0.51,4633
"Q8BFP9","Pdk1","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",1029623.75485436,1022426.46060702,1169598.86184336,901190.652604233,1064282.74193513,1157561.40571602,907090.888789331,1178705.93384792,1151889.09241441,1092003.00504817,1206321.71776238,1193232.62819652,1120408.70288494,983612.768190253,1050742.63898617,834495.4608041,0.049885928955426,14.03,71797
"Q8BFR6","Zfand1","AN1-type zinc finger protein 1",103198.204681369,91201.7780985731,124211.069992962,110451.855193917,104622.668466066,84509.3938639051,107736.106974647,116696.688058042,222051.210358098,151371.030347771,123663.78059924,120362.387470252,138562.806397316,168460.933284678,115342.455044189,109599.652713421,0.0317747584604215,18.28,23174
"Q8BG18","Necab1","N-terminal EF-hand calcium-binding protein 1",148292.12390224,164184.209918932,138807.51666992,155546.304643337,142869.613144017,160743.438686696,146037.175457075,123046.178572785,130587.70629657,225535.250800738,145560.618922781,118377.425041711,129280.670715533,122277.295953458,117027.758057447,135401.1902042,0.049885928955426,10.13,6826
"Q8BGG9","Acnat2","Acyl-coenzyme A amino acid N-acyltransferase 2",481658.312088633,373229.336023574,385090.314360153,440009.412093037,306720.602413156,338722.216485827,329531.718778841,183724.567210512,446956.599134734,256365.305358802,126008.089504862,210210.618868027,339390.356197427,436487.801179026,214977.506678699,494449.352047946,0.0454175116054217,2.34,76982
"Q8BH64","Ehd2","EH domain-containing protein 2",188979.597766448,156830.99959556,176961.679103476,177798.202570895,214226.078450283,235663.024395703,396684.038393355,836875.44928582,181804.344876234,206233.472769702,199352.185781628,193319.538700004,295700.282731685,249814.153363653,213762.834531939,190786.9588707,0.0284525263872816,9.99,150302
"Q8BHD8","Pcmtd2","Protein-L-isoaspartate O-methyltransferase domain-containing protein 2",62905.327242039,65906.5611512738,68307.2807571265,31237.0586122531,80655.9424909108,71028.5444129743,70245.1157632047,111506.536502432,77713.3914395379,76634.8995542563,48667.5278823112,77652.9027996907,62798.9338110881,60537.0807414908,45893.087274215,40273.4822830118,0.022259721232156,11.68,14864
"Q8BHN5","Rbm45","RNA-binding protein 45",23464.6589306358,13967.1099996019,20041.9809066681,22869.8906346382,18469.3021059274,11688.1139090943,15853.7445238719,18512.9879295068,15574.8120172086,13068.9208923266,15502.7993608585,12365.6237382257,9957.98609175421,13458.2360339297,14610.1989203584,15339.8777803835,0.0358402101501716,5.79,2164
"Q8BHY8","Snx14","Sorting nexin-14",69133.7129574513,61663.9191102539,64445.9724513202,58154.5951607221,73808.82609177,76379.9336389723,71784.5839734655,85572.3125753306,51016.0629964193,50857.686002922,65707.5491984219,66848.4816838318,62613.582448006,57980.6759939705,73817.2756847705,70938.2347418036,0.0454175116054217,7.54,6646
"Q8BIL5","Hook1","Protein Hook homolog 1",471678.06241363,526141.579706074,497733.573502042,561196.067081276,434319.232011778,457326.800628537,469745.026162907,532172.564837532,528481.19725135,484137.923264843,554789.671863921,569318.435891508,539000.329012105,548431.200202029,514905.690340261,618291.904878417,0.0454175116054217,21.33,33795
"Q8BJ03","Cox15","Cytochrome c oxidase assembly protein COX15 homolog",1029861.25162403,1128970.32531663,1120874.18467917,1111333.04035137,1234801.49333937,1126718.74328354,1134438.29649959,1054505.17584281,1225104.46595773,1158636.23716168,1144638.88239695,1153995.5962487,1139560.71437213,1241998.86465121,1170864.28175399,1148407.2476552,0.0317747584604215,17.44,25985
"Q8BJT9","Edem2","alpha-1,2-Mannosidase",121516.105024733,143620.530753372,141594.869650116,140351.450783519,134726.372832667,117075.059409245,126104.237120897,136722.277291,120693.343321274,111441.644284164,125002.637605351,99125.0372140516,126435.588687732,148152.917098237,119032.148701349,145804.740670025,0.0358402101501716,2.96,10680
"Q8BJU0","Sgta","Small glutamine-rich tetratricopeptide repeat-containing protein alpha",1716060.30893025,2030615.50826708,2095971.75060383,2098425.84956922,1789102.36089582,1900662.51345626,1838441.94294995,1893579.73120846,1763525.15589203,1470862.73762473,1775873.42104991,1859412.12513304,1761849.62427418,1900546.55642876,1898765.07249468,1939582.2492235,0.0454175116054217,3.39,112820
"Q8BJY1","Psmd5","26S proteasome non-ATPase regulatory subunit 5",2066013.97303947,1867069.50575452,2056557.60789947,2004483.9547211,2257411.78441059,2412434.31775409,2079315.86992883,2257460.50545038,2125709.03801076,2262826.64994659,2082951.28400116,2189242.24948391,2237056.36534095,2168948.56698762,1999574.84435142,2063395.09042987,0.0251505615202136,12.97,98088
"Q8BKX1","Baiap2","Brain-specific angiogenesis inhibitor 1-associated protein 2",1369186.51875558,1219161.37585487,1214383.97285353,1139877.61964459,1023962.94329561,1043844.37429128,1067863.43086189,1045000.9223239,1215137.29927504,987190.558370351,1119269.90859414,1078124.366674,1020367.35717449,1147674.4253713,1174773.09501518,1088935.51220841,0.0317747584604215,1.52,61218
"Q8BM72","Hspa13","Heat shock 70 kDa protein 13",479586.153818718,469815.827679744,459666.038681702,437811.746988236,495318.241361288,438021.59781394,503114.976738469,461136.860640361,519768.242115949,534113.517256801,436506.59198357,470308.046855468,555788.336724565,591473.633193287,515919.862882492,525416.539564436,0.0317747584604215,20.63,26313
"Q8BSE0","Rmdn2","Regulator of microtubule dynamics protein 2",2066284.75224691,2089020.91876462,2050024.31860933,1814348.6094645,2014632.9071005,2059087.51571848,1734400.39305167,1918624.81866095,2436998.84192261,2154065.6837781,2092868.2626779,2190228.78532375,2063342.51968837,1954272.32308443,2248358.4212225,2012584.52778582,0.0317747584604215,18.29,150080
"Q8BSQ9","Pbrm1","Protein polybromo-1",189252.333331686,158839.554729489,181067.618585091,170873.106820911,163192.380216009,174423.993188875,175559.280149342,171407.023045236,165138.46068027,144113.816583963,158846.383378751,166493.791656637,143063.015865539,144018.670513906,157673.020582817,141062.616923951,0.0173664959898176,7.86,9303
"Q8BT60","Cpne3","Copine-3",2318700.94556124,2249471.3490821,2141721.31496465,1997338.10998313,1996930.42475056,1782952.55859531,1893564.97032816,1988202.90929066,2206576.42515513,2075877.87878148,2044265.7312586,2031219.87647133,1735542.27638704,2126186.06641676,2104928.18122586,1928502.22183148,0.049885928955426,23.73,45592
"Q8BU88","Mrpl22","39S ribosomal protein L22, mitochondrial",588360.243632929,643766.754365967,557515.900374501,611365.908776315,574408.446624401,565535.407994232,508763.312877428,435871.86014307,548375.180703195,512925.674356624,535880.757125494,462413.041103183,524341.967742143,571331.388990277,552706.427894642,485395.962666914,0.049885928955426,2.73,33875
"Q8BUE4","Aifm2","Apoptosis-inducing factor 2",704205.576173864,712338.328956805,750441.700466857,749136.011386893,615891.033028645,646482.800625386,618524.747768999,726328.490749948,698341.624076089,601332.850241344,686452.152118431,606102.335315772,670657.081591583,689180.774217818,827881.048928772,838103.978620301,0.0414806424053415,0.7,59110
"Q8BVR6","Rspry1","RING finger and SPRY domain-containing protein 1",193923.703744963,190868.687882547,225597.504432533,198337.126322345,230732.315768778,184485.073044357,209880.590133431,239807.99599851,208631.450805684,237236.482295525,238946.697790365,235384.19971507,227971.620203258,232599.070667502,233358.314822202,205959.949864999,0.049885928955426,16.86,9823
"Q8BVZ1","Plin5","Perilipin-5",99424.0986353933,110926.870172131,91482.621849121,95949.0142578988,76305.1356921166,84798.9260054566,71974.8323629448,48643.3052003965,65414.764396963,60518.9887910046,62210.3423185296,64252.8669302133,104900.874793942,103471.769303975,78942.8489197643,74334.6307600509,0.0173664959898176,1.6,18525
"Q8BWR8","Rhpn2","Rhophilin-2",53414.0229304582,49082.8940239726,45903.4718746362,40134.2483332444,53752.8340884805,61144.0709167286,38951.3277494992,67850.9202070746,42504.4321344066,48962.1229118154,43248.5408916084,39691.0301275357,52661.1043313063,33491.3328437216,42186.6341889521,32787.1182335557,0.049885928955426,9.28,6369
"Q8BXA1","Golim4","Golgi integral membrane protein 4",235652.002872751,268820.329010112,283649.856208291,302876.899395575,253510.122000879,270040.887971711,265230.220900633,267041.17387682,368408.432427458,277763.994481184,326609.825824558,323302.925266967,291718.610158781,350885.519014716,365300.853777308,379354.258538435,0.0173664959898176,20.21,28865
