"uniprot","main_gene","protein_name","U1_V3_1","U1_V3_2","U1_V9_1","U1_V9_2","U1_V15_1","U1_V15_2","U1_V21_1","U1_V21_2","U1_I3_1","U1_I3_2","U1_I9_1","U1_I9_2","U1_I15_1","U1_I15_2","U1_I21_1","U1_I21_2","U2_V3_1","U2_V3_2","U2_V9_1","U2_V9_2","U2_V15_1","U2_V15_2","U2_V21_1","U2_V21_2","U2_I3_1","U2_I3_2","U2_I9_1","U2_I9_2","U2_I15_1","U2_I15_2","U2_I21_1","U2_I21_2"
"Q9D281","Fam114a1","Protein Noxp20",1582267.32239673,1708537.77627554,1481817.13154471,1457026.80463767,1577760.91527299,1294682.80908252,1459389.17707911,1802979.68969778,1522688.83871498,1423174.49050935,1532562.15967009,1630223.07828207,1711684.62711657,1396973.85583682,1556063.17205351,1402756.26668135,1631194.22771859,1687721.5867325,1738745.4520383,1723868.52025705,1598834.21897907,1459365.55172338,1537565.91520523,1717883.22880336,1576153.84578713,1543406.07122222,1777426.99628457,1718349.92139983,1565700.70908555,1802422.08926335,1677409.37389729,1498532.09201108
"Q9D287","Bcas2","Pre-mRNA-splicing factor SPF27",229269.938352696,246415.013033616,213439.640910567,206603.991002047,228675.162102607,224684.075591453,197556.865211347,208442.023976666,275814.542744022,240412.503417628,235503.134505849,240706.305991289,226980.803082164,327428.411775182,256792.118622815,205088.571118576,286891.395679401,272204.300791768,257621.100577842,323121.724862996,349967.660354967,289048.785217799,328897.840274443,296856.157091704,242747.087733716,342866.521379868,370367.071155925,330657.538976554,262013.224515833,346549.978993562,278877.44873212,297925.587470778
"Q9D2C7","Tmbim6","Bax inhibitor 1",591740.667298065,912444.65002709,736903.045985766,963186.680047302,667006.426392888,846904.831503782,684637.338061705,793682.919782299,570157.072762669,1053126.76571561,882718.917836325,733525.72374641,709814.595636679,613034.627051197,972585.633894634,864090.772567044,668644.154260679,670270.568191677,669898.756007045,614939.619972518,687091.743266815,570920.383985954,620965.667408284,612999.135590618,839287.699847492,866584.511025053,898027.805854519,820023.541963811,617480.800263873,716022.213380912,842999.131759533,850069.305868516
"Q9D2E2","Toe1","Target of EGR1 protein 1",38538.8299781347,31168.8149790436,52484.5265545843,27117.8483483429,43355.5064938978,5847.58605074023,68752.0800765103,11681.4214678573,39247.6689194442,38081.8848242106,32251.0042703607,25422.565266398,36454.8606706633,37789.4626184314,30408.2149778384,31204.7262587836,32662.1036867365,30884.0187038668,36629.7496032337,36118.4416961192,37039.6647222153,33973.6741551422,31914.1612256559,34275.4016257296,37090.0024274539,35224.2101417647,35353.5205185219,32958.5421819233,36328.9898616774,40711.8320965408,43221.5452276265,39688.3574274629
"Q9D2G2","Dlst","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial",4998868.13286418,5171743.41000206,5084854.32544946,4861179.46122873,5125447.42908268,5226641.15711306,4954885.28913343,5349941.45686777,4987139.61629066,4854191.65461926,5036212.81646234,4780704.65394903,4947644.1662836,5323415.22953338,4863270.73710869,4970086.86388349,4798769.31706155,5083538.44569187,5484965.6042224,4785022.4957926,4948438.74365579,4958281.1816106,4860337.82349343,5282896.22879584,4606043.6564685,5172223.09143462,5077515.01770189,5045355.63308636,5191098.12140123,4613665.02374579,4860401.3035464,5100166.31431908
"Q9D2M8","Ube2v2","Ubiquitin-conjugating enzyme E2 variant 2",482585.400559867,479865.928399522,501171.1772999,434211.120119031,441498.266164419,336003.896072187,397489.580729169,482462.086186137,465060.027708383,437264.573270447,450389.730068667,447936.576180781,397125.241873312,577753.549811172,537738.774702195,443451.951296176,574695.707239541,587737.336385321,591953.902912781,674002.012655089,702825.083552306,651524.738437577,703156.539000364,611667.247250262,657521.857349907,537768.583150095,613025.677561274,658248.140417661,654151.606584425,659483.61830054,478532.37588048,571168.515035171
"Q9D2N9","Vps33a","Vacuolar protein sorting-associated protein 33A",748010.280842822,894968.549101678,779486.541128127,816111.803951099,844620.12762203,853107.29334206,814054.361544805,753964.945948004,832086.973848652,854182.60387319,788226.453035853,855217.208505831,834095.04597176,805575.135933791,818770.5544785,755221.264290376,732683.052024277,773584.11890865,809377.770619436,795360.461139734,801439.94646101,774638.782981619,784936.629612641,810789.857994598,741700.5434362,811793.274138384,835790.701067499,822122.087680147,780279.372425064,846063.325898453,753617.501123165,824905.854788199
"Q9D2R0","Aacs","Acetoacetyl-CoA synthetase",4622899.97285575,4215933.58273311,3498402.11395451,3708368.05508987,3501418.36077773,3307705.32281885,4085689.30221336,3553128.646937,2900431.55581168,2367999.17485872,2530418.26837119,2735608.61287558,2678574.88162682,1691821.32823752,2921891.94321591,2421810.25444439,4839570.3310199,4486826.80179426,3678096.31321263,4175746.57716928,4799989.96707752,5026749.74400195,4341080.35725317,4690789.614014,2686574.13779406,3495450.69013922,2636159.43668441,4112235.50101126,4456226.8921663,3915071.56328412,3430425.26524577,3218999.63915733
"Q9D2R6","Coa3","Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",1217383.80430471,1305397.62426095,998907.18114346,1075596.99381077,1237870.98587642,823994.085304341,1065642.06354212,1174186.61916802,1061662.94371463,758911.84338791,1093022.17959848,1011439.23394558,937408.226491163,1237975.99610262,1057616.14399209,989630.006552794,1147975.08648657,1442482.96402601,1385734.33375409,1403191.56904585,1245943.76226924,1184477.15704037,1538034.57193609,1720905.10979691,1100102.87051634,1169687.77242356,1176405.50683695,1274372.14022048,1332945.14510315,1453492.39336005,1094231.37148551,1262078.46024971
"Q9D2R8","Mrps33","28S ribosomal protein S33, mitochondrial",250528.02881363,294700.627371827,270201.808257168,193807.538195784,198633.307048605,306631.035421156,318166.661466281,274616.495826887,209281.050440056,207178.435467473,260622.529440505,304060.239857297,200140.471720051,225784.669887306,245875.458912761,203192.340521033,225309.925397234,212757.121264513,225640.944093418,237107.901935209,224188.311709022,201668.160859931,203313.533993051,234555.951730361,199255.693541567,192686.236049655,190653.527318364,200438.58788781,196380.061872161,201602.631306805,191165.215896952,249389.007716608
