"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q7TPD3","Robo2","Roundabout homolog 2",295636.281309998,325821.547069973,350374.308340856,341825.633076029,348508.638111158,342062.61343077,329759.673422905,365171.418923993,348179.395656078,360230.793617991,370887.574788904,335563.248891826,331956.512713172,320444.09130973,190471.694065124,310008.733616867,0.0480399833261929,11.21,27525
"Q7TPH6","Mycbp2","E3 ubiquitin-protein ligase MYCBP2",579103.066752067,675269.730131285,666018.6095784,656524.801792182,693330.951164505,686622.580510723,689844.512902734,702332.346609131,627817.351562282,685795.276210454,686118.454780354,712079.225721275,632857.118412405,651956.037411754,551424.709716088,627657.306249775,0.0402483458105069,11.21,36757
"Q7TQI3","Otub1","Ubiquitin thioesterase OTUB1",2778092.39998051,3150507.42994097,3125533.71048096,2983722.35641196,3355810.76712806,3402602.46033701,3405697.52605067,3402583.88012465,3280885.40262787,3288241.81225208,3143329.15306501,3094145.59852884,3299875.74305017,3373809.77966077,3082371.1570917,3375002.82560346,0.0492010126826746,12.67,95123
"Q7TSY6","Celf4","CUGBP Elav-like family member 4",247328.282417913,249947.757970298,265622.518477983,267650.66144247,270589.021445872,260017.716021911,262992.968942866,279323.259987765,242395.846774649,288938.249239765,260215.599605189,222879.133487546,219030.070413829,242941.873086715,200958.867464138,240909.099479766,0.0480399833261929,9.38,15469
"Q7TSZ8","Nacc1","Nucleus accumbens-associated protein 1",16425.1411643928,16469.5401048275,15698.9259087414,14937.7193115328,14829.0708069335,17060.463682403,12749.7353185307,12484.6355611018,16407.3757778764,16673.3986077286,19523.118655393,20345.2227556893,20331.4935352122,18305.4601819221,19630.5540388456,20677.4462539437,0.0402483458105069,20.31,2046
"Q80TR4","Slit1","Slit homolog 1 protein",3732.25392713454,3243.10515437496,3494.54047106712,2590.15124952182,3329.0995233581,3920.43441109087,4743.62251525317,3096.35709474873,2379.48144689426,2894.66071930924,2954.73757544004,2389.45270441811,2533.6575639088,3669.1858729818,2553.06056112551,3026.32860302098,0.0456322718001179,6.69,479.6
"Q80TT8","Cul9","Cullin-9",74647.8498185127,79805.6226358743,73628.0286716887,76928.0421667464,73404.9536140033,73065.5987633457,63503.170323439,73670.0345116256,67975.2732673305,67292.7119834282,74406.2206650027,64314.6733620865,66173.5199806701,64770.8203540897,58207.9904140955,67285.9497411838,0.0456322718001179,6.13,3518
"Q80U56","Avl9","Late secretory pathway protein AVL9 homolog",338923.311662055,404805.459163971,387668.076639037,381298.340123474,371262.843183234,380894.129156644,388061.649710977,390519.123679631,398765.55127458,401633.721872241,405206.055288535,387846.185738178,367492.326591156,378901.232351518,320372.427214863,379429.432319094,0.0480399833261929,12.67,12998
"Q80U57","Rims3","Regulating synaptic membrane exocytosis protein 3",128701.376327885,154086.896772167,128033.805712714,143402.595161375,133962.584711834,134472.320940712,122344.435413688,125671.650280118,146000.393868727,116945.191094361,145081.368848496,158456.555803778,158735.193252534,156037.43278308,151547.622054096,154937.449103399,0.0480399833261929,21.39,9858
"Q80U78","Pum1","Pumilio homolog 1",150915.460825555,175445.189656831,173727.158310107,177873.552719278,183274.467851269,183718.307796013,164306.589727167,177246.751371972,196497.619854207,188068.610298422,214674.700497614,201612.05445397,193069.299937929,186477.64851329,143402.348041949,175941.567685813,0.0456322718001179,14.73,15190
"Q80U95","Ube3c","Ubiquitin-protein ligase E3C",182038.697369544,209056.34286188,211246.449170321,208435.298454572,209348.599046926,216367.731332602,202854.964857604,202966.93502581,223069.13063685,232318.139762675,216301.419858113,198492.315662181,198394.335521851,197896.195772632,197236.939925448,197404.653566106,0.0492010126826746,13.22,8122
"Q80V03","Adck5","Uncharacterized aarF domain-containing protein kinase 5",18183.2444751647,24702.0362085573,22475.4294902112,25679.732956543,19438.3795877737,26272.4191459968,30536.4573636187,27673.1371933227,32193.4802897334,32202.0859957221,30565.3997819674,35349.1616711065,28284.2821626332,29421.610409294,23179.8059980418,27183.3636469208,0.0402483458105069,15.55,4123
"Q80VM8","Pnmal1","PNMA-like protein 1",9538.48296664657,9816.76227237101,10055.5644226342,10657.1843022589,8322.08758815293,8358.46521076368,10770.0324762746,7897.65077030417,11644.5046424725,12233.9970426604,12743.3554043627,11329.0028705084,11552.2647067917,13259.4746184447,9689.94833691483,13983.0520931608,0.0456322718001179,19.32,1448
"Q80Y83","Dixdc1","Dixin",32923.5329961902,31541.6480657242,32467.7639665598,33106.039500024,33119.1952481648,33269.0541468556,30589.9396001402,31392.4827521764,32506.0484992201,29235.4096937967,30733.579467245,30464.8647465686,34236.2357478935,36194.0364340359,31743.1160097852,34246.5516316036,0.0492010126826746,0.59,1210
"Q8BFY6","Pef1","Peflin",428321.122495935,470461.487202335,446716.462789249,448779.627007033,459938.227789556,452928.411303486,447604.065802913,457839.785675992,482340.319873276,505137.200359176,485724.235203292,486942.493415822,434893.655656941,497085.534695626,489683.91518725,489315.261230573,0.0492010126826746,16.98,17450
"Q8BG05","Hnrnpa3","Heterogeneous nuclear ribonucleoprotein A3",2691119.49943885,2617249.37071219,2297489.31729222,2588676.61500671,2526307.18099196,2592610.6382051,2511995.59864064,2730557.8495438,2860990.83174258,2698642.95072726,3996788.11427113,3564233.18896725,3574634.45490312,3176913.54412108,3266366.44963438,2607930.63915095,0.0492010126826746,17.76,317468
"Q8BG81","Poldip3","Polymerase delta-interacting protein 3",78829.4060989177,82686.4436477929,78945.2358494833,86551.1950709854,87098.430637005,78111.5527269601,77047.2702282545,86272.0340907893,87477.9975124162,86724.9317052338,86637.3126082948,80629.398540313,89450.6789290895,85789.5933694404,91876.082285897,88733.3714450195,0.0492010126826746,19.6,2414
"Q8BGQ1","Vipas39","Spermatogenesis-defective protein 39 homolog",151247.20196374,191763.528863292,161297.929015288,183614.38115235,179951.631668056,162042.775449349,169536.620115225,175930.054474138,207645.30013685,196836.201465377,194427.47173642,204268.877939911,174495.009221219,183368.297115966,185781.73249265,179967.642919871,0.0456322718001179,16.32,12867
"Q8BGS1","Epb41l5","Band 4.1-like protein 5",9601.73672680262,10516.4629335678,8770.36796615318,8553.13655656966,10772.1075770437,6598.85166138769,8420.67555644481,8118.07255279561,7001.34412299133,7841.32552381994,5922.09299186983,6560.72496646993,5757.65372095552,13579.1478626969,6448.3764493953,5740.32352276387,0.0492010126826746,4.46,995
"Q8BHC4","Dcakd","Dephospho-CoA kinase domain-containing protein",80563.5189340051,86845.6844526136,77484.3427282315,81578.1431668615,84610.6639150721,82784.494416296,78194.8703270567,75771.0480184227,95166.7355932478,87425.8546281701,88185.2000395,94270.0737379335,87271.8080014753,80117.7520752658,110935.829350952,94894.0161134041,0.0492010126826746,18.92,4883
"Q8BLV3","Slc9a7","Sodium/hydrogen exchanger 7",19703.7425752119,23338.3364185071,19291.4005603066,23152.6017177295,20944.1514108729,16507.8811441538,22344.5867380505,24100.6974463821,25453.5637250697,24433.3875130901,23233.9218591053,22425.9539144402,28206.5833467281,26003.7039882564,32476.76015493,28935.4759646424,0.0402483458105069,20.35,2820
"Q8BM39","Prpf18","Pre-mRNA-splicing factor 18",10934.2573153842,11519.8015451441,11172.5393438954,12663.149965739,9887.00533261551,9791.55213507153,10513.1632382502,11683.8022384598,10391.8531883439,10570.5619450076,10622.5419303027,10726.2565800097,11120.5294871061,10825.8102709709,15488.6444288313,11170.8471767947,0.0456322718001179,23.69,865
"Q8BMC3","Shc2","SHC-transforming protein 2",324076.442962485,198219.410460141,197178.067063531,156326.432457503,182594.34051719,163052.333210005,160175.655027107,181380.569182275,188342.632146784,174041.187510377,135432.367519897,165948.031352336,154862.559975086,148291.501072239,152937.182479723,150191.995041733,0.0492010126826746,4.98,19747
"Q8BP48","Metap1","Methionine aminopeptidase 1",417171.040652314,489564.886717392,480195.848036798,461493.040060137,509170.56005291,489836.360112435,516436.356480594,497043.204373379,475517.690595739,488450.184771211,485267.007092849,462626.328080531,449785.013550991,468935.58001991,433673.88416966,486861.364857888,0.0456322718001179,10.88,20456
"Q8BSS9","Ppfia2","Liprin-alpha-2",453814.605544021,521263.193903519,515074.479144721,527978.373152967,556143.434945517,517739.635166247,528136.630140042,541034.234226704,525882.067936287,581510.976172674,540491.405979876,531715.416630157,463435.170153946,489306.197489465,422492.903164329,531502.127038603,0.0492010126826746,11.91,31819
"Q8BT51","COA4","Cytochrome c oxidase assembly factor 4 homolog, mitochondrial",2063.88395474212,2675.55343718005,1859.83308249768,2568.50363862477,2720.56214457491,2492.89231157861,2795.0591650491,2716.42338102498,2531.41134276084,2953.45375149093,3189.80024588893,3495.01404956004,3458.23145505961,3000.86630363085,3208.803717546,2802.06138657328,0.0442516556408812,17.03,270
"Q8BTJ4","Enpp4","Bis(5-adenosyl)-triphosphatase enpp4",71161.9977134403,89622.6803012648,79638.2309523387,79771.2380407626,93038.6143725173,70987.4820819164,77275.6608615353,78074.6921398044,102449.830375166,87018.3692008051,93366.7132741765,93683.9573606777,81553.4132952031,86892.9495012297,93526.2058384414,79547.6140100636,0.0480399833261929,16.67,6805
"Q8BVR6","Rspry1","RING finger and SPRY domain-containing protein 1",76461.3085382818,83640.3048228495,78874.6654346658,74123.4266968805,87018.6291547485,82380.155409374,82301.5001826653,83996.2443046701,84163.051962228,87063.361748551,97073.1638676081,86330.7977465373,78470.7390538394,85079.600438182,94561.7587726651,88830.4146842783,0.0480399833261929,15.85,3670
"Q8BW22","Ss18l1","Calcium-responsive transactivator",20822.5869393625,26295.0036714575,23527.8392600332,30007.3749327252,26402.7779062691,26593.2660488515,23887.4885616201,25722.4516279407,34540.3388364166,31918.4376556571,31732.885821156,34792.8369543576,31283.7589472031,28656.3837051162,26130.3426933179,27188.3563162452,0.0402483458105069,16.39,3817
"Q8BXV2","Bri3bp","BRI3-binding protein",155980.318649432,167254.079346757,170897.593385349,184114.653128806,202062.527681261,150834.864101183,165499.707485243,153653.702553499,199211.639486216,188798.936189331,185988.155636233,186867.533381657,180644.251506695,181005.621070429,196304.169210002,172980.058587882,0.0492010126826746,17.73,9839
"Q8C0L0","Tmx4","Thioredoxin-related transmembrane protein 4",300653.97385006,351231.170852622,324790.311400745,333855.088648213,353569.58432489,363522.685330805,316312.188871712,375473.802608321,337181.891168865,392280.562252506,400158.289192709,357834.648171971,326559.118057911,347942.935364176,291154.75728096,317265.112787772,0.0492010126826746,12.99,24222
"Q8CBF3","Ephb1","Ephrin type-B receptor 1",47771.1443232126,63050.0424019649,57052.2566354823,53726.7708333475,65519.3565362434,56616.6025100202,57508.7796793704,54653.5653532771,63447.121661207,68070.9505289415,50608.71896065,66572.2366871129,63742.3410783339,65672.8800851296,70352.1467811862,68219.906323731,0.0480399833261929,18.71,3504
"Q8CE50","Snx30","Sorting nexin-30",125081.25604982,146411.185155858,137783.281561726,138036.082929933,134968.905581206,137457.260334404,132155.145076208,133309.795398937,153410.399217929,158810.874313326,135868.519317115,144528.60120619,138672.247402971,135439.758166545,140013.500102417,149595.560352309,0.0492010126826746,17.24,5874
"Q8CG48","Smc2","Structural maintenance of chromosomes protein 2",3425.36643600576,2670.44003279032,3249.75848489444,2988.56492828827,3466.49890871921,3026.81142510162,4960.70806672411,3171.60625571176,3431.21611302366,3448.72152795506,3337.72520744739,3593.12867860646,3698.60733821095,3662.08545959548,3877.98033865512,4018.18725360873,0.0456322718001179,17.05,148.3
"Q8CGA0","Ppm1f","Protein phosphatase 1F",164033.722540505,184695.304823792,180660.92031415,189052.137936913,203880.807056016,190182.081756338,197060.305983885,192303.276116477,205638.509096684,221677.545071322,207776.974113896,227945.470587966,188232.535543559,198241.191184189,187265.634875959,208994.236885413,0.0402483458105069,15.16,15074
"Q8CIP4","Mark4","MAP/microtubule affinity-regulating kinase 4",177629.669026875,189764.5400345,202037.471518776,188580.228258732,240084.900088706,202200.861926013,203688.971057315,181148.740713321,223580.24865815,217492.993478403,198791.835596753,194896.973365583,184380.753893099,175121.433965826,119392.510050497,194592.874702904,0.0492010126826746,11.39,18882
"Q8CJ40","Crocc","Rootletin",240562.280205658,278747.524784759,271510.455204016,297502.805864426,262807.775174915,255220.350084726,273658.573158986,277878.873521175,288832.627445637,281302.014917238,280724.607614698,281878.385325996,251169.679221336,253189.638584939,192300.135640221,269639.835417317,0.0492010126826746,11.43,11490
