"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4"
"P50096","Impdh1","Inosine-5-monophosphate dehydrogenase 1",28261.7134919043,37393.6018224259,32352.5283597785,35606.2582613582,36294.9616762673,26524.8764262149,29302.185835404,37212.3880747458,35133.569024502,33172.4180594202,42152.4799591841,40512.7216841873,28100.2681168432,36025.0234585988,22226.5439662806,30497.6710734745,41193.3854483064,32648.6420572411,12734.4190290123,40974.3374987693,37924.5944755502,28225.9224820613,35900.9093330076,10152.8350548509,36555.8511603449,31831.556864375,30881.8306205259,24771.0939307229,26487.7306051486,32884.1182817564,28968.4291497412,14841.425423174
"P50114","S100b","Protein S100-B",31232.6955107678,45427.2568164435,48621.4375441553,41529.1699538314,50064.0406301858,49699.40629116,47843.0603516755,51009.7839672568,47640.2534337969,42600.6269205358,41227.060886948,55725.4735233598,36830.2502665617,43592.8538262936,130656.735083636,53228.5391150567,51597.8893038976,61606.2423333128,124155.820396407,39650.3239676825,53945.9861596506,41381.1361298738,42942.3190924436,50914.3824882878,38113.2508653883,50123.3077517905,66572.8690419164,53949.6135289359,48940.5000154876,36101.1730219196,51523.9810529197,50232.8506570781
"P50136","Bckdha","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",176817.666087528,218741.39646996,189231.799032353,215831.855418333,186644.899691438,210400.53335118,196160.687635237,195560.213227008,211086.53003711,187687.942768506,207319.553810999,191286.527848924,187305.912946546,207248.33447825,211260.155209764,198277.269521605,208240.615110038,226192.947971991,235780.475354251,226795.391650435,203682.636619829,210959.838419392,190369.869739786,248409.304274479,220045.132604057,212098.666339049,210638.35917454,213600.043730871,205003.296429411,224318.675247442,198835.180756725,233843.159139391
"P50153","Gng4","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4",122642.047188139,141277.432137319,136122.507892339,188181.381853933,135323.969810213,153721.851288102,193419.084569702,187674.162897451,132013.494733389,195460.816453891,195798.339406503,166105.784514083,122871.040581275,161892.633128427,75539.8551344711,150356.501789537,163148.730793927,122731.541819913,109820.049629145,168381.38507602,110464.698085335,157207.452791127,139913.949212402,146239.303745829,136024.37334052,130990.518369835,119226.299663782,140779.218099527,108198.983848784,119461.278474262,140578.198259869,135850.524690931
"P50171","Hsd17b8","Estradiol 17-beta-dehydrogenase 8",142736.234967613,163052.668297321,159850.103748603,173392.378403317,148635.803672395,155337.132831892,187168.792130788,179418.900356527,151760.925790308,170388.254577904,165777.137014498,179711.695244889,153911.127405277,148755.943268433,158521.294247082,162673.383653633,154798.674518396,155679.690751688,102850.298178114,176078.154794917,149255.592193279,184836.46875116,152879.381651473,88389.6567511597,155218.56892552,150975.205993913,159629.423068269,149510.894794613,166132.430198642,129436.357531491,138706.403908535,90220.7855252863
"P50172","Hsd11b1","Corticosteroid 11-beta-dehydrogenase isozyme 1",34423.8074137766,37139.4490123098,29421.679007963,31761.9083927827,43309.6947829132,36790.2853593449,26155.0801078101,27938.9602688018,34455.0453611622,27553.1628233437,34806.0199973722,33880.8851989864,38007.2995644174,38894.7557182868,83137.2059551725,30973.3702942792,32468.017427971,47614.6698526482,50586.3168005492,37834.936871196,32421.1102585721,36750.982514722,31203.2244519087,51672.9457333762,30992.7248878104,28443.7698998826,61651.5264356691,28503.974980227,44394.4031767652,41739.0340723706,47919.9185125794,43900.18266837
"P50247","Ahcy","Adenosylhomocysteinase",1270063.84704192,1419857.86086742,1396715.15752506,1462111.03716209,1324206.41093393,1389662.59169452,1554463.98837748,1431079.8999384,1399731.40169196,1454491.62583059,1339812.52137471,1454962.49816066,1371322.55381315,1348008.40490773,1495156.44515335,1380968.99652303,1402658.48326121,1492436.95595862,1696376.74961182,1371668.22730734,1345568.48141661,1504271.89822754,1378323.58637864,1402750.68116915,1430013.68889718,1412207.97201299,1550147.96130984,1449910.02407145,1432021.46986906,1480622.27324755,1400518.86630138,1383796.16743902
"P50396","Gdi1","Rab GDP dissociation inhibitor alpha",2356984.80324477,2621260.86625683,2748350.11158232,2542255.91905776,2577256.11962958,2885384.66802837,2867286.10287738,2779183.30086336,2516296.40186393,2803372.85534992,2482062.98597816,2629867.86660681,2667860.91612777,2766240.44957926,2597158.916416,2910180.64469649,2504889.24128678,2406362.05097938,2473629.49413453,2276288.92113833,2187275.81005084,2497080.59749887,2341753.25748665,2589139.70297486,2479530.54728659,2495004.07206968,2406957.53699624,2496878.19598572,2277812.50543025,2488849.94208892,2562749.09720576,2488071.10194604
"P50427","Sts","Steryl-sulfatase",15978.3030458609,16572.0539776689,17563.1914830232,17455.1713405728,18091.3006438144,17310.7889451009,19536.4355461249,16879.8625624018,19895.8465670124,23970.0401595855,23255.9989087412,19013.5745770452,17632.8835204234,19036.3774095713,18830.6996452811,21795.0913312619,10424.6257000927,16602.4980668299,11344.3537716137,13025.4571379131,13663.0697648097,13992.4437620893,14766.7048747008,10818.6565509799,15430.7565183711,10574.1593941832,10261.9535345264,8406.26672230755,12642.9442359081,10915.935541762,10921.2756658126,7922.82737225831
"P50428","Arsa","Arylsulfatase A",94504.6107401148,122790.403775507,107720.201512495,98700.5392992679,97439.5387793056,102376.528637511,99926.3051008629,108815.788812447,109837.797164614,106415.609893204,93742.2105434848,111108.937596828,100057.271260983,120285.686913128,115173.314674449,120175.140571822,104797.28471128,125240.62233089,131713.381937336,108079.770451617,106104.554336533,119089.46121646,113461.272581885,119524.956226065,101665.887721755,143867.553001317,133319.169752064,121247.1881839,107469.872581148,109352.09510749,125333.242948905,118104.795710255
"P50429","Arsb","Arylsulfatase B",430726.98221031,418046.959387452,496875.166033473,442078.062929291,504195.033156795,489144.838270401,430651.730367202,427596.475349441,464328.069394061,438935.752757555,448603.326090034,429369.221239804,438905.059753443,447580.890418101,362179.880338209,417420.5869813,410121.49209066,391820.01837012,335378.272018687,417425.978525512,448109.856256851,418462.224274386,397821.961951992,417631.253726839,382769.945900982,429253.79790803,429954.695946724,409563.423947275,396087.983395073,410144.418571044,412698.467740922,367989.694519261
"P50516","Atp6v1a","V-type proton ATPase catalytic subunit A",3028260.11557921,3387122.08957262,3472107.02138103,3429411.26229178,3797842.28020538,3395788.10325626,3060451.68536128,3218817.65362849,3407510.11997079,3560906.81347142,3338725.26746368,3414093.08958734,3583292.61793484,3383014.01139688,2920434.73528221,3278296.95911149,3528475.03886367,3229378.62722036,2767846.35942529,3610622.95024019,3562744.37414431,3287036.2147483,3662049.48774091,2369743.15336965,3226450.13791171,3540071.45693937,3266241.82575567,3382728.64351538,3586323.6157464,3376080.80632639,3369362.66331347,2887697.64067782
"P50518","Atp6v1e1","V-type proton ATPase subunit E 1",3758945.62314599,4266852.17394506,4000497.67867768,4049545.28550623,4571624.86404219,4141045.36372219,3959027.49829033,4076604.46402137,4264577.10156118,4679378.30246041,4371186.81561986,4069653.35954487,3899624.77510198,4292900.12885632,3516587.1332375,4569664.09783988,4847705.89252848,4136775.31201988,4324019.03579412,4909932.72833368,4821867.80084304,5012783.53551106,5112093.86938909,5532099.57972455,5087046.67973075,4530650.58425829,4801707.23531554,4437546.87261202,4344430.34060536,4982515.4436876,5055234.52998514,5113850.69458904
"P50544","Acadvl","Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",848599.083166935,929113.086706295,946966.667780694,929586.566236054,867263.617815162,931738.781509151,912517.680582228,943456.357178998,903746.058742593,901706.281835859,922206.895556568,945596.651315615,902957.713181495,920588.564060926,1055339.70591907,928269.587106046,866107.1882863,925186.773706253,1145256.00414863,976003.633884854,831261.478294249,913940.360283808,929222.868327557,1035661.99038992,871245.499983107,957935.15408843,976546.171625189,919371.065265042,905873.805028681,963478.798266593,978660.21964115,983861.667536951
"P50571","Gabrb1","Gamma-aminobutyric acid receptor subunit beta-1",967363.56151543,846563.968331588,1028808.49478732,1094781.47841298,1035621.36070245,1142928.60386983,1087280.93080653,917294.191219493,1059585.03030704,1118153.99875965,1115052.03840845,949484.305080985,960706.497477058,1028904.15247474,843458.333602172,1092699.55595437,849060.201123144,885696.573737459,710750.440866229,912528.824036094,886755.160227034,842228.435749871,921422.059653423,957933.607049967,851469.103026141,871754.096416378,933940.891973299,879317.126490452,864457.231523381,963955.908323166,923178.486326273,948892.243277113
"P50580","Pa2g4","Proliferation-associated protein 2G4",1089700.40464945,1153322.92952193,1262738.03996085,1218884.48977544,1277505.28153734,1234554.86752164,1329068.07260956,1147638.83855751,1171229.16976361,1197140.53877238,1167671.20637499,1141182.37706553,1215463.77558575,1202435.78964073,1212676.68018867,1123444.61048594,1023732.14560622,1053753.94902467,1055064.31480039,1000341.80168242,1068150.24167073,1052117.62463994,992127.082475493,1048707.46068311,1083119.25821359,1021327.37531364,1042388.44051748,1023011.80097165,1090002.12736586,1127407.90051186,1131609.31076345,1025035.24834583
"P50586","Tub","Tubby protein",115488.186572851,120409.344235091,124942.131677276,115785.139870541,126684.423415714,135567.62883469,121790.30693832,118252.692398623,118789.929405668,117339.867217835,125392.708949239,108586.63976856,119396.010852069,109489.725593726,104073.56709627,119205.311611311,111917.438218309,108565.384290103,97065.4538675497,105979.254276971,105914.454451438,105291.319010245,96826.7084180806,116555.915539358,97878.923281199,101928.076775432,102668.519548869,101211.650051444,102915.464092729,110019.917023073,117647.602653522,116135.781520228
"P50608","Fmod","Fibromodulin",34546.2688271757,47957.7777167685,46334.0258926671,48975.9260806034,35812.4805194829,54493.9983405027,51871.3530519409,55085.1241489338,48391.878398241,52571.6527086013,55080.6613471044,50780.0789562921,39569.0776981537,38318.1940066243,79155.5970053608,43477.6256502809,38359.0600004858,33892.6468285795,174241.280104553,45786.3692638479,35632.4546944019,62712.2013229335,49759.7879526426,59073.2730628825,40627.6037749127,61294.4552379369,75649.7915720373,55417.153786773,52932.8209868679,47522.5759341064,60373.449266692,39924.8239159602
"P51125","Cast","Calpastatin",164333.362608779,141186.18659602,157900.014995344,156633.257077482,136567.457145667,167250.316089024,155712.788614425,154936.05787296,156765.586516942,130927.318062275,149396.763326388,167089.053728633,157739.98426957,151793.940647774,234852.81827895,178358.09750485,129113.612928904,152006.884402948,284041.399095895,143995.686921798,125755.007912833,133598.590113246,140886.283648604,169707.819248893,138562.94068644,143041.830086604,186840.942963953,163418.010379695,140028.759863588,154176.117772377,160605.146655099,158169.744887007
"P51141","Dvl1","Segment polarity protein dishevelled homolog DVL-1",32448.9322037772,29184.4939913317,30387.1618594725,32359.7822908422,30592.4689749863,34039.3906012396,31143.2067796092,35242.5931896379,28856.2488058951,36380.0165874704,29069.2300462305,32593.3386893562,35002.7572937767,31703.3625644397,26116.1668045869,32243.2292429435,35130.949748697,33818.7888723682,31353.7313739513,32486.5511535787,35257.0967684649,35833.8040436284,32458.7259234747,38204.0073967188,34032.2040132018,33223.1931325984,33817.0776156339,32424.5917665128,35143.3736484741,33976.2028394872,35283.4237401909,38228.9822818815
"P51150","Rab7a","Ras-related protein Rab-7a",2919518.57454816,3103773.32705255,3260125.51050738,3212360.58510188,3138271.67934034,3171291.23525055,3143118.14265934,3143313.92462142,3078688.94166405,3119104.27866862,3065647.05297421,3086534.88438558,3085756.04520746,3000279.14732394,2711689.10091385,2893001.63430699,3086482.84461507,3039777.00027141,2899269.42454923,3103818.56035593,3069348.71376989,3142739.75829487,2994734.3620099,3408209.1970025,2921441.22316117,2979203.86270027,3048904.26079,3036286.10243308,2894973.9785743,2880659.45160583,2854886.38309841,3138546.47357265
"P51163","Uros","Uroporphyrinogen-III synthase",78069.6174936843,71626.4160058417,74138.0214248916,72349.7365566348,79629.4679023943,71901.1161704157,71962.2761591762,73304.4360577464,70773.3485901872,72922.9145798109,63912.4112205263,70288.4513232471,70544.2188332026,68302.0989971548,57801.969423136,79272.5684023559,88180.5118430341,69779.9656470756,102228.972535082,65487.2217434283,54291.7580010145,78006.3679174468,67198.3528029308,84082.7211154055,78303.9918750914,72433.2235565385,70684.0471768443,79190.8773263598,66349.5632650695,85664.6267849694,85300.9799844494,88146.9855399108
"P51174","Acadl","Long-chain specific acyl-CoA dehydrogenase, mitochondrial",534753.89822635,585043.948951692,652762.236918256,630973.212215518,631697.76079416,672926.948212692,705404.166743577,636177.931595824,590445.771130269,606012.381455795,611276.621996652,673920.871424174,633924.512320684,622971.223431804,937969.20562798,680366.636067008,682400.137789838,672437.730819301,1051617.90960162,721639.253070488,603504.028161014,717789.630203136,708976.184157807,736162.970186184,682403.361021508,680603.15652251,833907.778130759,754660.203065784,716310.366219875,698320.42751046,784477.164114596,691159.612289652
"P51175","Ppox","Protoporphyrinogen oxidase",192465.08063313,234332.604873336,204270.011996335,234886.67001621,208746.807678813,220804.244145983,234949.590820116,244134.326888951,213072.912222834,237419.656650155,271109.669975561,241346.693049409,201687.08188129,233570.879872139,286441.582362024,256651.181160664,219593.670776368,239912.512886268,266598.465163315,227494.413303989,202898.05114773,214385.016036079,244127.650807144,248442.35467266,229004.721370593,208970.672962204,249650.398403594,247523.459969829,223142.976279909,240869.823761595,271287.768621148,239497.008471159
"P51410","Rpl9","60S ribosomal protein L9",456052.592512572,446042.637382002,340811.729078439,439082.28932709,420593.007429426,409404.467076752,481175.051715929,412068.029491415,481603.244209318,513757.423638291,348027.526048689,288469.551342926,432459.452933574,441456.565889537,331182.600933754,323445.070404392,569735.241938703,565977.046273159,498289.584139451,469871.70075642,584260.478609791,593493.779276643,662922.061034757,816622.753838332,580601.471332993,541964.64700267,449198.865557432,411131.773151878,637861.241579167,628612.451856236,452295.182140241,531121.662306799
