"uniprot","main_gene","protein_name","I3_1","I3_2","I3_3","I3_4","I9_1","I9_2","I9_3","I9_4","I15_1","I15_2","I15_3","I15_4","I21_1","I21_2","I21_3","I21_4","pval","Phase","Amplitude"
"P59644","Inpp5j","Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",345056.947094485,312217.602552983,315966.406283791,366507.844316362,315160.004132663,312269.006776842,340798.994665784,317961.521264486,331251.42127941,297122.228569647,287558.232583062,328025.108144712,301063.886682048,301024.091632285,290864.936098321,300142.242683265,0.117102556919065,6.31,11934
"P59672","Anks1a","Ankyrin repeat and SAM domain-containing protein 1A",23187.3299047429,21549.9035916672,9974.66376916122,32274.0807168921,24083.8852942727,25219.0036119595,25959.8898492025,4965.77780992137,24465.0434792967,20544.4599779893,14025.9015320708,17172.7747157937,20973.4781009251,15418.8256109029,18122.6259919362,6836.38998835822,0.144056185980953,8.23,1872
"P59708","Sf3b6","Splicing factor 3B subunit 6",83937.2417153859,81978.1198426802,79381.5383529224,83552.0899824582,86803.9713235323,84079.1117341013,89656.1486770307,87258.6638640214,82890.5528383532,82164.8008162909,79934.8661871953,81327.2218698115,86297.5312519552,84363.5668283361,79025.2959163821,82404.6069589508,0.117102556919065,8.85,1775
"P59759","Mkl2","MKL/myocardin-like protein 2",458706.046319665,395367.266514179,284123.05099867,413334.684010196,455355.163876784,413529.580693878,404771.420767537,394033.759308488,415540.860256345,402488.78172076,387382.70481391,449675.338513351,378723.191152824,392580.735398199,409145.970920797,447553.362901409,0.22266957601014,13.59,11866
"P59764","Dock4","Dedicator of cytokinesis protein 4",599722.776341549,564961.055824771,538066.208025559,570044.629337137,676431.217777936,579362.937330483,550967.667377756,410734.604581052,564373.884922027,618336.834031802,597906.992412785,496537.219560431,596778.784588509,566831.982546358,601287.245047602,486354.945237961,0.349513536094762,21.22,4253
"P59808","Sash1","SAM and SH3 domain-containing protein 1",97828.5128669066,98247.9391633919,122785.105108673,98982.4707975232,75311.1411441212,102286.038666185,88776.9245088381,107895.440594745,94946.9091867071,89452.4273918755,123938.332301323,106116.285018269,96132.5171840453,102990.222633346,97818.5587148113,94846.8414452586,0.191751360355969,21.44,2415
"P59823","Il1rapl1","Interleukin-1 receptor accessory protein-like 1",105420.559451401,100791.070569649,67349.3656485284,114754.199220511,113050.808733484,89168.2159540306,123513.644644383,107634.553144943,95704.5128114964,93534.6628852322,96034.7286415469,109868.046860393,87874.9730055758,103022.797900223,111353.092985164,116906.680428362,0.191751360355969,11.24,2123
"P59913","Pcmtd1","Protein-L-isoaspartate O-methyltransferase domain-containing protein 1",36837.5016051865,34217.8995677781,33535.1085778604,33893.0651548822,38291.1687809918,34254.1769702284,36980.3412783923,36933.2079119911,34100.0843550961,32325.7564888775,35261.5837288381,35912.4345281211,31900.2215963586,36103.4988334485,32610.7667094463,38249.7251084546,0.140045879596742,8.97,822
"P59999","Arpc4","Actin-related protein 2/3 complex subunit 4",1098621.00867687,1043744.23720345,915271.759726156,1082709.83353879,1144740.34518924,969507.657773112,1204837.48095505,1173270.62329514,1043283.61801126,1078953.06560297,1149431.76698914,1036418.44228399,1104679.8792843,1044779.19398541,1178444.07890333,1179511.02386734,0.168355309004035,14.66,8367
"P60122","Ruvbl1","RuvB-like 1",1464957.39055612,1411147.32851402,1453878.7465339,1466519.44379994,1376923.759298,1485879.03195865,1478238.31185532,1621911.65896681,1468589.68751521,1414495.11315775,1389397.22671162,1520222.89952831,1480832.13542969,1511018.768226,1486869.33003738,1599532.20644379,0.140045879596742,22.6,9534
