"uniprot","main_gene","protein_name","V3_1","V3_2","V3_3","V3_4","V9_1","V9_2","V9_3","V9_4","V15_1","V15_2","V15_3","V15_4","V21_1","V21_2","V21_3","V21_4","pval","Phase","Amplitude"
"Q9D6V8","Paip2","Polyadenylate-binding protein-interacting protein 2",34335.141680457,28401.392756615,23992.0286951018,25499.3161540529,27877.8813451895,36526.6541195986,33228.33933332,29728.4266398076,22717.2323275327,39779.2019190788,28720.1005128883,20276.8565354442,17841.1099994742,25490.8201224531,29289.1918125894,37732.7529154721,0.175006217189221,8.89,1972
"Q9D6W8",NA,"Uncharacterized protein C17orf59 homolog",95838.7895712044,104499.110813053,115680.120081965,107202.791611695,114754.457395048,115525.029692413,115489.918882515,120666.93564927,115990.296392557,131083.616627506,112579.519646809,118062.88809759,112778.198961239,120046.592588874,123807.856876037,127886.282439877,0.0569355410159052,16.22,4831
"Q9D6Y7","Msra","Mitochondrial peptide methionine sulfoxide reductase",225256.110691002,244339.456976043,245866.614200613,257165.913788638,236620.178386802,221975.045396457,244870.258802215,258191.602190529,240109.336080229,235890.511466527,237758.085539589,251910.920092165,247207.704050589,249139.662066616,296158.912805727,236031.574293642,0.158995409219089,22.18,6342
"Q9D6Y9","Gbe1","1,4-alpha-glucan-branching enzyme",164490.365492847,193104.399352396,194640.679245139,201547.018580307,187887.935194039,176365.931733327,186836.725210725,188641.201807103,194793.762052963,185838.461688134,205731.961774198,214509.602212014,183608.891643479,199840.138169402,190125.033404846,193096.667443586,0.0837529367618973,17.25,6234
"Q9D6Z1","Nop56","Nucleolar protein 56",93582.7418205203,82304.4245946238,75665.9737546271,92244.2510492731,98763.9789802755,92495.8898968289,94925.7674895549,85696.3274949173,84230.2846651517,91785.994649888,104870.341735428,85059.2485281539,84805.3905152465,87106.5973807977,60176.8393506094,108006.722936266,0.132870514408682,11.49,4365
"Q9D706","Rpap3","RNA polymerase II-associated protein 3",193785.619827025,226107.634964484,226713.655938622,237139.575141503,240864.892680698,220837.662562289,229838.854858276,229120.182688229,234616.517052769,243675.199406287,221894.596696004,240986.946855099,229889.364696055,244842.726750357,237614.75244525,235735.215740071,0.0670355818394528,16.61,5157
"Q9D708","S100a16","",63942.6912252145,65505.5856712474,67466.9562606731,63837.9614197618,70735.9806154787,67816.8208590582,115873.453255437,66926.028436394,70282.7128097941,72363.0298329087,73348.0395590303,59973.7248994488,67529.7520923745,66189.2709312669,84415.9593003582,62442.5717063132,0.0886980335892281,10.64,5315
"Q9D710","Tmx2","Thioredoxin-related transmembrane protein 2",431561.154581149,525250.26691465,546242.536666505,524635.399025691,466410.059654931,528944.981844601,557110.430409005,531877.308296167,549140.24621424,486576.264593263,500449.843716011,556235.951729178,506430.619131483,456809.82663799,656106.539331067,571292.428996739,0.191827664342425,20.67,11348
"Q9D711","Pir","Pirin",32404.4184721595,44151.4269463993,34139.2765767653,35421.9106179425,39246.6347155153,38217.2981517398,34096.6114605919,40960.1454277111,39974.1397761728,38855.2587841704,45320.6763000368,47810.731768043,35502.322751846,40254.5131486289,36671.8292319007,40533.892547231,0.0772775102241011,15.14,2919
"Q9D735",NA,"Uncharacterized protein C19orf43 homolog",150613.605002452,171581.682654191,157717.816325574,188298.396215921,161977.545622261,156711.669329938,169117.667974742,156710.833377366,156154.213823921,155638.427708004,186239.398949064,180027.293361451,153309.047367927,166230.81195098,261831.364560144,153466.098525636,0.315349702112573,21.24,8310
