Experiment ID,22141.0,
Experiment name,Liver digitonin prot log2,
Job,9e336919-5e29-48b2-a126-7133a830f7db,
Submitted,2022-08-22T16:31:46.852642503,Finished,2022-08-22T16:31:52.364037939,
Method,MFourFit,
Params,amp&baseline dtr min-48.0 p(23.0-25.0),


Summary statistics,
Phase/Amplitude method,by fit,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
B9EJ86,1,,23.1,0.0,,17.44,17.44,0.0,16.79,16.79,0.0,,0.02,0.0,,1.0,1.0,
B9EJR8,1,,23.1,0.0,,20.49,20.49,0.0,19.72,19.72,0.0,,0.18,0.0,,1.0,1.0,
B9EKI3,1,,23.1,0.0,,21.41,21.41,0.0,20.61,20.61,0.0,,0.1,0.0,,1.0,1.0,
Q8CGP5,1,,23.1,0.0,,3.96,3.96,0.0,3.81,3.81,0.0,,0.07,0.0,,1.0,1.0,
D3YXK2,1,,23.1,0.0,,17.86,17.86,0.0,17.19,17.19,0.0,,0.02,0.0,,1.0,1.0,
D3YYU8,1,,23.1,0.0,,1.76,1.76,0.0,1.69,1.69,0.0,,0.24,0.0,,1.0,1.0,
D3YZP9,1,,23.1,0.0,,8.81,8.81,0.0,8.48,8.48,0.0,,0.04,0.0,,1.0,1.0,
D3Z4S3,1,,23.1,0.0,,10.06,10.06,0.0,9.68,9.68,0.0,,0.04,0.0,,1.0,1.0,
D3Z6P0,1,,23.1,0.0,,9.38,9.38,0.0,9.03,9.03,0.0,,0.62,0.0,,1.0,1.0,
D3Z6Q9,1,,23.1,0.0,,4.62,4.62,0.0,4.45,4.45,0.0,,0.17,0.0,,1.0,1.0,
D3Z7P3,1,,23.1,0.0,,10.66,10.66,0.0,10.26,10.26,0.0,,0.06,0.0,,1.0,1.0,
D3Z7Q2,1,,23.1,0.0,,4.44,4.44,0.0,4.27,4.27,0.0,,0.07,0.0,,1.0,1.0,
E0CYR6,1,,23.1,0.0,,20.1,20.1,0.0,19.35,19.35,0.0,,0.11,0.0,,1.0,1.0,
E9PV24,1,,23.1,0.0,,2.05,2.05,0.0,1.97,1.97,0.0,,0.08,0.0,,1.0,1.0,
E9PVA8,1,,23.1,0.0,,4.18,4.18,0.0,4.02,4.02,0.0,,0.03,0.0,,1.0,1.0,
E9PVB5,1,,23.1,0.0,,22.58,22.58,0.0,21.73,21.73,0.0,,0.75,0.0,,1.0,1.0,
E9PW74,1,,23.1,0.0,,18.28,18.28,0.0,17.59,17.59,0.0,,0.19,0.0,,1.0,1.0,
E9PXF8,1,,23.1,0.0,,17.96,17.96,0.0,17.29,17.29,0.0,,0.05,0.0,,1.0,1.0,
E9PYK3,1,,23.1,0.0,,11.45,11.45,0.0,11.02,11.02,0.0,,0.11,0.0,,1.0,1.0,
E9PZJ8,1,,23.1,0.0,,11.23,11.23,0.0,10.81,10.81,0.0,,0.06,0.0,,1.0,1.0,
E9PZM4,1,,23.1,0.0,,7.72,7.72,0.0,7.43,7.43,0.0,,0.08,0.0,,1.0,1.0,
E9Q1P8,1,,23.1,0.0,,3.74,3.74,0.0,3.6,3.6,0.0,,0.11,0.0,,1.0,1.0,
E9Q394,1,,23.1,0.0,,19.45,19.45,0.0,18.72,18.72,0.0,,0.04,0.0,,1.0,1.0,
E9Q3C1,1,,23.1,0.0,,17.18,17.18,0.0,16.54,16.54,0.0,,0.04,0.0,,1.0,1.0,
E9Q3L2,1,,23.1,0.0,,19.88,19.88,0.0,19.13,19.13,0.0,,0.03,0.0,,1.0,1.0,
E9Q414,1,,23.1,0.0,,1.7,1.7,0.0,1.64,1.64,0.0,,0.08,0.0,,1.0,1.0,
